id	Chromosome	Start	End	symbol	entrezID	mean.mean.HSC	mean.mean.MPP	Difference	mean.mean.diff	mean.mean.quot.log2	comb.p.val	comb.p.adj.fdr	combinedRank	num.sites	mean.num.na.HSC	mean.num.na.MPP	mean.mean.covg.HSC	mean.mean.covg.MPP	mean.nsamples.covg.thres5.HSC	mean.nsamples.covg.thres5.MPP
ENSG00000185105	chr17	79904610	79906609	MYADML2	255275	1	0	1	1	6.658211483	1.54E-33	2.10E-30	12	1	2	0	0.333333333	1.333333333	0	0
ENSG00000169682	chr16	28984042	28986041	SPNS1	83985	1	0	1	1	6.658211483	2.08E-49	2.81E-45	1	2	2	0.5	0.333333333	1.666666667	0	0.5
ENSG00000270097	chr16	3048403	3050402	NA	NA	1	0	1	1	6.658211483	5.63E-21	9.83E-19	130	1	2	1	0.333333333	1	0	0
ENSG00000239194	chr16	67424254	67426253	RNU1-123P	NA	1	0	1	1	6.658211483	5.63E-21	9.83E-19	130	1	2	1	0.333333333	1	0	0
ENSG00000261527	chr16	69477694	69479693	NA	NA	1	0	1	1	6.658211483	8.22E-18	5.75E-16	261	1	1	2	0.666666667	0.333333333	0	0
ENSG00000242480	chr15	32892830	32894829	RN7SL286P	NA	1	0	1	1	6.658211483	8.22E-18	5.75E-16	261	1	1	2	1	0.333333333	0	0
ENSG00000166887	chr15	42500015	42502014	VPS39	23339	1	0	1	1	6.658211483	8.22E-18	5.75E-16	261	1	1	2	0.666666667	0.333333333	0	0
ENSG00000261002	chr15	42499111	42501110	NA	NA	1	0	1	1	6.658211483	8.22E-18	5.75E-16	261	1	1	2	0.666666667	0.333333333	0	0
ENSG00000212377	chr13	73027606	73029605	NA	NA	1	0	1	1	6.658211483	8.22E-18	5.75E-16	261	1	1	2	0.666666667	0.333333333	0	0
ENSG00000134874	chr13	96296458	96298457	DZIP1	22873	1	0	1	1	6.658211483	8.22E-18	5.75E-16	261	1	1	2	0.666666667	0.333333333	0	0
ENSG00000243663	chr12	1866678	1868677	RPS4XP14	NA	1	0	1	1	6.658211483	8.22E-18	5.75E-16	261	1	1	2	1	0.333333333	0	0
ENSG00000168040	chr11	70047769	70049768	FADD	8772	1	0	1	1	6.658211483	5.63E-21	9.83E-19	130	1	2	1	0.333333333	0.666666667	0	0
ENSG00000254422	chr11	102101154	102103153	NA	NA	1	0	1	1	6.658211483	5.63E-21	9.83E-19	130	1	2	1	0.333333333	0.666666667	0	0
ENSG00000256035	chr11	102678148	102680147	NA	NA	1	0	1	1	6.658211483	8.22E-18	5.75E-16	261	1	1	2	0.666666667	0.333333333	0	0
ENSG00000260205	chr10	22505503	22507502	NA	NA	1	0	1	1	6.658211483	1.54E-33	2.10E-30	12	1	2	0	0.333333333	1.333333333	0	0
ENSG00000148484	chr10	16859028	16861027	RSU1	6251	1	0	1	1	6.658211483	8.22E-18	5.75E-16	261	1	1	2	0.666666667	0.333333333	0	0
ENSG00000264483	chr1	228128885	228130884	MIR5008	100847072	1	0	1	1	6.658211483	4.79E-33	2.10E-30	21	1	1	1	0.666666667	1	0	0
ENSG00000224536	chr1	201474869	201476868	NA	NA	1	0	1	1	6.658211483	5.63E-21	9.83E-19	130	1	2	1	0.333333333	1	0	0
ENSG00000143195	chr1	166944220	166946219	ILDR2	387597	1	0	1	1	6.658211483	1.06E-19	1.68E-17	171	2	2	1	0.333333333	0.833333333	0	0
ENSG00000227205	chr1	120394439	120396438	PFN1P9	NA	1	0	1	1	6.658211483	8.22E-18	5.75E-16	261	1	1	2	1	0.666666667	0	0
ENSG00000158246	chr1	27338828	27340827	FAM46B	115572	1	0.166666667	0.833333333	1	6.658211483	8.22E-18	5.75E-16	261	2	2	1	0.5	1	0	0
ENSG00000172932	chr11	67054518	67056517	ANKRD13D	338692	1	0.180555556	0.819444444	0.759259259	3.254924992	5.50E-14	3.12E-12	1064	4	2	0.25	0.5	1.416666667	0	0
ENSG00000224302	chr10	103844988	103846987	NA	NA	1	0.208333333	0.791666667	0.791666667	3.950692733	7.65E-13	3.85E-11	791	2	2	1	0.5	1.666666667	0	0
ENSG00000270935	chr6	27234392	27236391	NA	NA	0.75	0	0.75	0.75	6.165318412	2.94E-30	6.69E-28	481	2	2	0.5	0.5	1.5	0	0
ENSG00000228638	chr3	48332366	48334365	FCF1P2	101060195	1	0.25	0.75	0.75	3.821998812	4.67E-12	2.28E-10	796	2	2	1	0.333333333	0.833333333	0	0
ENSG00000207457	chr22	42074215	42076214	RNU6-476P	NA	1	0.25	0.75	0.5	0.985786141	1.72E-17	1.05E-15	2440	2	2	1.5	0.333333333	1.333333333	0	0.5
ENSG00000249139	chr20	44175566	44177565	EPPIN-WFDC6	100526773	1	0.25	0.75	1	6.658211483	5.63E-21	9.83E-19	130	2	2.5	1.5	0.166666667	0.666666667	0	0
ENSG00000101448	chr20	44175892	44177891	EPPIN	57119;100526773	1	0.25	0.75	1	6.658211483	5.63E-21	9.83E-19	130	2	2.5	1.5	0.166666667	0.666666667	0	0
ENSG00000262001	chr18	3601498	3603497	DLGAP1-AS2	NA	1	0.25	0.75	0.5	0.985786141	2.69E-32	7.00E-30	2440	2	1.5	1.5	0.5	0.666666667	0	0
ENSG00000258895	chr15	94575387	94577386	NA	NA	1	0.25	0.75	0.75	3.821998812	1.29E-12	6.42E-11	796	2	2	1.5	0.333333333	0.833333333	0	0
ENSG00000125514	chr20	61667881	61669880	LINC00029	NA	1	0.274074074	0.725925926	1	6.658211483	5.63E-21	9.83E-19	130	3	2.666666667	0.666666667	0.111111111	2.111111111	0	0.333333333
ENSG00000237119	chr20	61667863	61669862	LINC01056	100144597	1	0.274074074	0.725925926	1	6.658211483	5.63E-21	9.83E-19	130	3	2.666666667	0.666666667	0.111111111	2.111111111	0	0.333333333
ENSG00000263781	chr17	27348159	27350158	NA	NA	1	0.277777778	0.722222222	0.583333333	1.271229799	1.59E-22	3.33E-20	2192	3	2.333333333	0.666666667	0.444444444	1.333333333	0	0
ENSG00000241464	chr19	18395806	18397805	RPL39P38	NA	1	0.333333333	0.666666667	1	6.658211483	5.63E-21	9.83E-19	130	3	2.666666667	1	0.111111111	0.888888889	0	0
ENSG00000123297	chr12	58174872	58176871	TSFM	10102	0.75	0.125	0.625	0.625	3.815098553	4.68E-12	2.28E-10	802	2	2	1	0.666666667	1	0	0
ENSG00000266163	chr16	12009096	12011095	NA	NA	1	0.388888889	0.611111111	0.611111111	3.057821671	6.88E-09	2.40E-07	1121	3	1.666666667	1	0.444444444	1.111111111	0	0
ENSG00000184985	chr4	7192765	7194764	SORCS2	57537	0.777777778	0.177083333	0.600694444	0.541666667	2.786781111	1.22E-08	4.18E-07	1238	4	1.75	1	0.75	1.416666667	0	0
ENSG00000256481	chr11	63847662	63849661	NA	NA	1	0.4	0.6	0.6	1.300659478	1.66E-17	1.05E-15	2156	1	1	2	0.666666667	1.666666667	0	1
ENSG00000174370	chr11	128775431	128777430	C11orf45	219833	1	0.4	0.6	0.2	0.31836148	1.97E-17	1.14E-15	5361	2	2	1.5	0.333333333	1.166666667	0	0.5
ENSG00000251078	chr5	75048805	75050804	SLC25A5P9	NA	1	0.416666667	0.583333333	0.583333333	3.459195946	2.81E-10	1.17E-08	844	2	1.5	1.5	1	1	0	0
ENSG00000272645	chr1	224140642	224142641	NA	NA	1	0.416666667	0.583333333	1	6.658211483	1.54E-33	2.10E-30	12	2	2.5	0	0.166666667	1.666666667	0	0
ENSG00000239998	chr19	55082887	55084886	LILRA2	11027	0.75	0.183333333	0.566666667	0.625	3.815098553	4.83E-12	2.34E-10	802	3	2	1	0.444444444	1.444444444	0	0.333333333
ENSG00000178184	chr18	78004930	78006929	PARD6G	84552	1	0.444444444	0.555555556	0.333333333	0.622983275	4.27E-10	1.60E-08	3578	3	2	1.333333333	0.444444444	1.111111111	0	0
ENSG00000164087	chr3	52188207	52190206	POC1A	25886	1	0.45	0.55	0.55	1.143222809	5.04E-12	2.44E-10	2294	2	2	1	0.5	1.666666667	0	0.5
ENSG00000111665	chr12	6960731	6962730	CDCA3	83461	1	0.45	0.55	0.6875	3.678123269	5.00E-13	2.57E-11	816	5	2.2	1.2	0.266666667	0.933333333	0	0
ENSG00000159239	chr2	74648219	74650218	C2orf81	388963	1	0.466666667	0.533333333	0.533333333	3.378363612	2.82E-10	1.17E-08	857	3	1.666666667	1.666666667	0.444444444	1	0	0.333333333
ENSG00000245059	chr16	81109424	81111423	NA	NA	1	0.46875	0.53125	0.53125	3.375184464	2.17E-10	9.55E-09	858	2	1	1.5	0.666666667	1.666666667	0	0.5
ENSG00000181514	chr6	73308863	73310862	NA	NA	0.5	0	0.5	0.5	5.672425342	6.44E-33	2.10E-30	759	1	2	0	0.666666667	2	0	0
ENSG00000188112	chr6	42109858	42111857	C6orf132	647024	1	0.5	0.5	0.5	3.329105741	3.27E-12	1.62E-10	859	2	1	1	0.833333333	1.166666667	0	0
ENSG00000260422	chr6	164506194	164508193	NA	NA	1	0.5	0.5	0.5	3.329105741	5.93E-12	2.84E-10	859	2	2	1.5	0.666666667	0.833333333	0	0
ENSG00000249486	chr5	8157402	8159401	NA	NA	1	0.5	0.5	1	6.658211483	8.22E-18	5.75E-16	261	2	2	2	0.333333333	0.333333333	0	0
ENSG00000270560	chr5	156349630	156351629	APOOP1	NA	1	0.5	0.5	0.5	0.985786141	1.72E-17	1.05E-15	2440	1	1	2	0.666666667	0.666666667	0	0
ENSG00000188517	chr4	110223314	110225313	COL25A1	84570	1	0.5	0.5	1	6.658211483	8.22E-18	5.75E-16	261	3	2	2.333333333	0.555555556	0.444444444	0	0
ENSG00000246774	chr4	110222691	110224690	NA	NA	1	0.5	0.5	1	6.658211483	8.22E-18	5.75E-16	261	3	2	2.333333333	0.555555556	0.444444444	0	0
ENSG00000138796	chr4	108909370	108911369	HADH	3033	1	0.5	0.5	0.5	3.329105741	4.23E-12	2.07E-10	859	2	2	1	0.5	1.333333333	0	0
ENSG00000173950	chr3	194991397	194993396	XXYLT1	152002	1	0.5	0.5	0.5	3.329105741	1.13E-18	1.32E-16	859	2	1	2	0.666666667	0.5	0	0
ENSG00000235888	chr21	40377580	40379579	NA	NA	1	0.5	0.5	1	6.658211483	8.22E-18	5.75E-16	261	2	2	1.5	0.333333333	0.5	0	0
ENSG00000186458	chr20	236877	238876	DEFB132	400830	1	0.5	0.5	0.5	0.985786141	2.69E-32	7.00E-30	2440	1	0	2	1	0.666666667	0	0
ENSG00000115523	chr2	85910798	85912797	GNLY	10578	1	0.5	0.5	0.5	0.985786141	2.34E-33	2.10E-30	2440	1	1	1	2	1.333333333	0	0
ENSG00000230353	chr2	106905010	106907009	NA	NA	1	0.5	0.5	0.5	0.985786141	1.72E-17	1.05E-15	2440	1	1	2	0.666666667	0.666666667	0	0
ENSG00000213962	chr2	178862998	178864997	API5P2	NA	1	0.5	0.5	0.5	0.985786141	1.72E-17	1.05E-15	2440	1	1	2	0.666666667	0.666666667	0	0
ENSG00000176695	chr19	105971	107970	OR4F17	81099	1	0.5	0.5	1	6.658211483	5.63E-21	9.83E-19	130	2	2.5	1.5	0.166666667	0.5	0	0
ENSG00000167637	chr19	44329944	44331943	ZNF283	284349	1	0.5	0.5	1	6.658211483	8.22E-18	5.75E-16	261	2	2	1.5	0.333333333	0.666666667	0	0
ENSG00000076944	chr19	7700267	7702266	STXBP2	6813	1	0.5	0.5	0.5	3.329105741	4.23E-12	2.07E-10	859	2	2	1	0.333333333	0.666666667	0	0
ENSG00000105552	chr19	49313787	49315786	BCAT2	587	1	0.5	0.5	0.5	3.329105741	4.86E-12	2.36E-10	859	2	2	0.5	0.5	1.166666667	0	0
ENSG00000267144	chr19	44528915	44530914	NA	NA	1	0.5	0.5	0.5	3.329105741	2.92E-10	1.19E-08	859	2	1.5	1	0.5	1	0	0
ENSG00000159885	chr19	44527994	44529993	ZNF222	7673	1	0.5	0.5	0.5	3.329105741	2.92E-10	1.19E-08	859	2	1.5	1	0.5	1	0	0
ENSG00000267022	chr19	44528006	44530005	NA	7766	1	0.5	0.5	0.5	3.329105741	2.92E-10	1.19E-08	859	2	1.5	1	0.5	1	0	0
ENSG00000166401	chr18	61635659	61637658	SERPINB8	5271	1	0.5	0.5	0.5	3.329105741	2.92E-10	1.19E-08	859	2	1.5	1	0.833333333	1.333333333	0	0
ENSG00000170222	chr17	10599411	10601410	ADPRM	56985	0.5	0	0.5	0.5	5.672425342	1.18E-20	1.94E-18	759	1	2	1	0.666666667	0.666666667	0	0
ENSG00000136463	chr17	61676731	61678730	TACO1	51204	0.5	0	0.5	0.5	5.672425342	1.18E-20	1.94E-18	759	1	2	1	0.666666667	1	0	0
ENSG00000175061	chr17	16340636	16342635	FAM211A-AS1	26800;125144;692087;692106	1	0.5	0.5	0.5	3.329105741	6.22E-19	8.95E-17	859	2	0.5	1	1.333333333	2.333333333	0	0.5
ENSG00000029725	chr17	5184058	5186057	RABEP1	9135	1	0.5	0.5	0.5	0.985786141	1.72E-17	1.05E-15	2440	1	1	2	0.666666667	0.666666667	0	0
ENSG00000182676	chr17	79792427	79794426	PPP1R27	116729	1	0.5	0.5	0.25	1.664552871	7.49E-06	0.000194358	2646	6	2.166666667	1.5	0.277777778	1.5	0	0.166666667
ENSG00000260338	chr16	5665698	5667697	NA	101926950	1	0.5	0.5	1	6.658211483	5.63E-21	9.83E-19	130	2	2.5	1.5	0.166666667	0.5	0	0
ENSG00000265281	chr16	56277932	56279931	MIR3935	100500891	1	0.5	0.5	0.5	3.329105741	3.59E-19	5.49E-17	859	2	2	0.5	0.333333333	1	0	0
ENSG00000137801	chr15	39871780	39873779	THBS1	7057	1	0.5	0.5	0.5	0.985786141	2.34E-33	2.10E-30	2440	1	1	1	0.666666667	1.333333333	0	0
ENSG00000104043	chr15	50474515	50476514	ATP8B4	79895	1	0.5	0.5	1	6.658211483	6.44E-33	2.10E-30	23	2	1.5	1.5	0.5	0.833333333	0	0
ENSG00000169783	chr15	78112743	78114742	LINGO1	84894	1	0.5	0.5	0.5	0.985786141	2.34E-33	2.10E-30	2440	1	1	1	0.666666667	1.333333333	0	0
ENSG00000221376	chr15	69617260	69619259	NA	NA	1	0.5	0.5	0.5	0.985786141	1.18E-20	1.94E-18	2440	1	2	1	0.666666667	2	0	0
ENSG00000221405	chr15	32893988	32895987	NA	NA	1	0.5	0.5	1	6.658211483	8.22E-18	5.75E-16	261	2	2	1.5	0.5	0.666666667	0	0
ENSG00000264600	chr15	64692172	64694171	RN7SL595P	NA	1	0.5	0.5	0.5	0.985786141	1.72E-17	1.05E-15	2440	1	1	2	0.666666667	0.666666667	0	0
ENSG00000259617	chr15	41289972	41291971	NA	NA	1	0.5	0.5	0.5	3.329105741	1.97E-10	8.74E-09	859	2	0.5	1.5	1	0.5	0	0
ENSG00000157823	chr15	90437075	90439074	AP3S2	10239;100526783	1	0.5	0.5	0.5	3.329105741	2.54E-10	1.08E-08	859	2	1.5	1.5	0.5	0.5	0	0
ENSG00000100918	chr14	24639562	24641561	REC8	9985	1	0.5	0.5	0.5	3.329105741	6.22E-19	8.95E-17	859	2	0	1.5	1.666666667	1.166666667	0	0
ENSG00000089220	chr12	118572163	118574162	PEBP1	5037	1	0.5	0.5	1	6.658211483	5.63E-21	9.83E-19	130	3	2.333333333	1.666666667	0.222222222	0.444444444	0	0
ENSG00000257053	chr12	121585313	121587312	NA	NA	1	0.5	0.5	0.5	0.985786141	1.72E-17	1.05E-15	2440	1	1	2	0.666666667	0.666666667	0	0
ENSG00000052850	chr11	44331217	44333216	ALX4	60529	1	0.5	0.5	1	6.658211483	2.08E-49	2.81E-45	1	2	2	0	0.333333333	2	0	0
ENSG00000254496	chr11	49426242	49428241	CBX3P8	NA	1	0.5	0.5	0.5	0.985786141	7.80E-48	3.01E-44	2440	1	0	1	1	1.333333333	0	0
ENSG00000110200	chr11	71823327	71825326	ANAPC15	25906	1	0.5	0.5	0.5	3.329105741	2.54E-10	1.08E-08	859	3	1.333333333	2.333333333	0.666666667	0.222222222	0	0
ENSG00000216109	chr1	155206129	155208128	NA	NA	0.5	0	0.5	0.5	5.672425342	6.44E-33	2.10E-30	759	2	2	1.5	0.666666667	1	0	0
ENSG00000159214	chr1	44455531	44457530	CCDC24	149473	1	0.5	0.5	1	6.658211483	5.63E-21	9.83E-19	130	2	2.5	1	0.333333333	0.666666667	0	0
ENSG00000160818	chr1	156570789	156572788	GPATCH4	54865	0.5	0	0.5	0.5	3.329105741	5.93E-12	2.84E-10	859	2	1	0.5	0.833333333	1.5	0	0
ENSG00000228212	chr5	37207966	37209965	OFD1P17	NA	0.95	0.453703704	0.496296296	0.605555556	2.344509348	6.17E-13	3.12E-11	1364	6	1.5	0.333333333	0.777777778	1.444444444	0	0
ENSG00000179431	chr11	35638235	35640234	FJX1	24147	1	0.520833333	0.479166667	0.583333333	2.684760531	8.14E-20	1.32E-17	1254	4	1.25	1.5	0.916666667	0.833333333	0	0
ENSG00000111364	chr12	124085124	124087123	DDX55	57696	0.916666667	0.444444444	0.472222222	0.472222222	2.497964688	1.45E-07	4.63E-06	1686	3	1.333333333	1.333333333	0.666666667	1.666666667	0	0.333333333
ENSG00000103342	chr16	12009440	12011439	GSPT1	2935	1	0.541666667	0.458333333	0.458333333	2.293366253	5.48E-07	1.52E-05	1691	4	1.75	1	0.416666667	1	0	0
ENSG00000224356	chr13	101231872	101233871	NA	NA	0.833333333	0.375	0.458333333	0.458333333	3.245328693	4.65E-19	7.00E-17	1696	2	1	0.5	0.666666667	1.666666667	0	0
ENSG00000005448	chr2	74647305	74649304	WDR54	84058	0.833333333	0.385185185	0.448148148	0.392592593	2.44027704	2.50E-07	7.47E-06	1839	4	1.25	1.25	0.583333333	1.416666667	0	0.25
ENSG00000243234	chr19	58464628	58466627	NA	NA	1	0.555555556	0.444444444	0.444444444	2.412016516	1.60E-07	5.07E-06	1721	3	1.666666667	2	0.444444444	0.555555556	0	0
ENSG00000268336	chr19	51686661	51688660	SIGLEC20P	NA	0.5	0.055555556	0.444444444	0.416666667	3.600946365	6.86E-19	9.67E-17	1763	3	2.333333333	0.333333333	0.444444444	1.111111111	0	0
ENSG00000107771	chr10	86086842	86088841	CCSER2	54462	0.75	0.326388889	0.423611111	0.423611111	1.316689815	4.57E-19	6.91E-17	2147	2	1.5	0.5	0.666666667	2.666666667	0	0.5
ENSG00000200248	chr6	117380345	117382344	RNA5SP214	NA	1	0.583333333	0.416666667	0.416666667	0.767440553	0.000780948	0.014405744	3337	1	1	1	0.666666667	1.666666667	0	0
ENSG00000221294	chr20	46198179	46200178	NA	NA	1	0.583333333	0.416666667	0.416666667	2.356165151	1.46E-08	4.91E-07	1763	3	2	0.666666667	0.666666667	1	0	0
ENSG00000033327	chr11	78128895	78130894	GAB2	9846	0.916666667	0.5	0.416666667	0.416666667	3.199015537	6.86E-19	9.67E-17	1793	2	0.5	1.5	1.333333333	0.666666667	0	0
ENSG00000224671	chr1	203121529	203123528	NA	NA	1	0.583333333	0.416666667	0.416666667	0.767440553	0.000780948	0.014405744	3337	1	1	1	0.666666667	1.666666667	0	0
ENSG00000073146	chr22	50526808	50528807	MOV10L1	54456	1	0.6	0.4	0.25	1.664552871	1.02E-06	2.80E-05	2646	5	1.8	1.2	0.866666667	1.466666667	0.2	0.4
ENSG00000221020	chr17	40549527	40551526	NA	NA	1	0.6	0.4	0.4	0.727474145	1.78E-17	1.09E-15	3395	1	1	2	0.666666667	1.666666667	0	1
ENSG00000127528	chr19	16434128	16436127	KLF2	10365	0.7	0.3	0.4	0.34	2.529799661	1.20E-12	5.99E-11	1953	6	1.666666667	1	0.611111111	1.611111111	0	0.5
