id	Chromosome	Start	End	symbol	entrezID	mean.mean.CMP	mean.mean.MPP	Difference	mean.mean.diff	mean.mean.quot.log2	comb.p.val	comb.p.adj.fdr	combinedRank	num.sites	mean.num.na.CMP	mean.num.na.MPP	mean.mean.covg.CMP	mean.mean.covg.MPP	mean.nsamples.covg.thres5.CMP	mean.nsamples.covg.thres5.MPP
ENSG00000233427	chr1	29203349	29205348	NA	NA	0.5	1	-0.5	-0.5	-3.329105741	1.81E-11	9.71E-10	565	2	0.5	2	1.666666667	0.833333333	0.5	0
ENSG00000152953	chr4	5051669	5053668	STK32B	55351	0	0.5	-0.5	-0.5	-3.329105741	1.92E-10	9.80E-09	565	2	1	1	2.333333333	0.666666667	0.5	0
ENSG00000261437	chr8	95651196	95653195	NA	100288748	0.5	1	-0.5	-0.5	-3.329105741	2.13E-10	1.07E-08	565	2	1	1	0.833333333	0.833333333	0	0
ENSG00000104413	chr8	95651802	95653801	ESRP1	54845	0.5	1	-0.5	-0.5	-3.329105741	2.13E-10	1.07E-08	565	2	1	1	0.833333333	0.833333333	0	0
ENSG00000108064	chr10	60143282	60145281	TFAM	7019	0.5	1	-0.5	-0.5	-3.329105741	3.85E-10	1.66E-08	630	2	2	1.5	0.333333333	0.666666667	0	0
ENSG00000238909	chr12	103631754	103633753	NA	NA	0.472222222	1	-0.527777778	-0.527777778	-3.369916823	2.58E-10	1.25E-08	569	2	1	1	1.666666667	1.166666667	0.5	0
ENSG00000213707	chr22	26954992	26956991	HMGB1P10	NA	0.458333333	1	-0.541666667	-0.541666667	-3.391222197	3.64E-19	5.76E-17	558	2	0	1.5	2.166666667	1	0	0
ENSG00000183531	chr22	33255921	33257920	NA	NA	0.411111111	1	-0.588888889	-0.588888889	-1.262082446	1.88E-05	0.000527639	1662	1	0	1	3.333333333	0.666666667	1	0
ENSG00000173456	chr11	119203737	119205736	RNF26	79102	0.125	0.75	-0.625	-0.5	-3.329105741	2.39E-28	4.98E-26	565	4	0.25	2	1.416666667	0.333333333	0	0
ENSG00000231742	chr20	48787587	48789586	NA	101927541	0.125	0.75	-0.625	-0.625	-3.815098553	3.12E-19	5.06E-17	509	2	0.5	1.5	1.666666667	0.666666667	0	0
ENSG00000109047	chr17	9808439	9810438	RCVRN	5957	0.125	0.75	-0.625	-0.625	-3.815098553	3.35E-10	1.54E-08	608	2	1.5	1	1	0.666666667	0	0
ENSG00000260431	chr16	5255589	5257588	NA	NA	0.375	1	-0.625	-0.625	-1.391424942	0.001737902	0.041279986	1560	1	1	1	2	0.666666667	0	0
ENSG00000065559	chr17	11922641	11924640	MAP2K4	6416	0.166666667	0.8	-0.633333333	-0.633333333	-3.743705397	1.23E-11	6.64E-10	521	2	1	1.5	1	1.666666667	0	0.5
ENSG00000205018	chr16	89004697	89006696	NA	NA	0.359259259	1	-0.640740741	-0.401234568	-2.327728258	1.02E-07	3.77E-06	1259	5	0.6	1.4	2	1.6	0.4	0.4
ENSG00000223111	chr10	51610725	51612724	NA	NA	0.344444444	1	-0.655555556	-0.655555556	-1.51072387	0.003669125	0.083794392	1481	1	0	2	3.333333333	0.333333333	1	0
ENSG00000184922	chr17	43297311	43299310	FMNL1	752	0	0.666666667	-0.666666667	-1	-6.658211483	5.84E-20	1.05E-17	146	3	2.333333333	2	0.222222222	0.333333333	0	0
ENSG00000255875	chr19	53311577	53313576	NA	NA	0.333333333	1	-0.666666667	-0.666666667	-3.618024775	3.08E-19	5.01E-17	528	2	0.5	1	1.666666667	0.833333333	0	0
ENSG00000164114	chr4	156297623	156299622	MAP9	79884	0.3125	1	-0.6875	-0.6875	-3.663869139	4.28E-19	6.62E-17	524	2	0.5	2	1.666666667	0.333333333	0	0
ENSG00000236816	chr9	44117945	44119944	ANKRD20A7P	NA	0.25	1	-0.75	-0.75	-3.821998812	3.03E-10	1.43E-08	590	4	2.25	1.75	0.416666667	0.416666667	0	0
ENSG00000225413	chr22	23855290	23857289	NA	NA	0	0.833333333	-0.833333333	-0.5	-3.329105741	2.21E-11	1.18E-09	565	6	2.166666667	1.666666667	0.666666667	0.611111111	0	0
ENSG00000236130	chr9	100571791	100573790	NA	101928337	0	1	-1	-1	-6.658211483	4.43E-50	1.23E-45	1	1	0	1	1.333333333	1	0	0
ENSG00000230813	chr1	246688832	246690831	NA	NA	0	1	-1	-1	-6.658211483	1.31E-33	2.15E-30	14	1	1	1	1	0.666666667	0	0
ENSG00000187079	chr11	12694469	12696468	TEAD1	7003	0	1	-1	-1	-6.658211483	1.31E-33	2.15E-30	14	1	1	1	1.333333333	1	0	0
ENSG00000255138	chr11	18209047	18211046	GLTPP1	NA	0	1	-1	-1	-6.658211483	1.31E-33	2.15E-30	14	1	1	1	0.666666667	1	0	0
ENSG00000101138	chr20	54965927	54967926	CSTF1	1477	0	1	-1	-1	-6.658211483	1.31E-33	2.15E-30	14	1	1	1	1	1	0	0
ENSG00000250947	chr5	135637945	135639944	TRPC7-AS2	NA	0	1	-1	-1	-6.658211483	1.76E-33	2.46E-30	18	1	0	2	2.666666667	0.666666667	0	0
ENSG00000231226	chr6	30071517	30073516	TRIM31-AS1	NA	0	1	-1	-1	-6.658211483	1.76E-33	2.46E-30	18	1	0	2	2.333333333	0.333333333	1	0
ENSG00000264937	chr15	64987321	64989320	NA	NA	0	1	-1	-1	-6.658211483	1.76E-33	2.46E-30	18	1	0	2	1	0.333333333	0	0
ENSG00000207340	chr1	147834166	147836165	RNVU1-10	101954273	0	1	-1	-1	-6.658211483	5.84E-20	1.05E-17	146	1	1	2	1	0.333333333	0	0
ENSG00000271707	chr2	60962351	60964350	ATP1B3P1	NA	0	1	-1	-1	-6.658211483	5.84E-20	1.05E-17	146	1	1	2	0.666666667	0.333333333	0	0
ENSG00000233526	chr9	79685516	79687515	NA	NA	0	1	-1	-1	-6.658211483	5.84E-20	1.05E-17	146	1	1	2	1	0.666666667	0	0
ENSG00000130175	chr19	11544609	11546608	PRKCSH	5589	0	1	-1	-1	-6.658211483	5.84E-20	1.05E-17	146	1	1	2	1.333333333	0.333333333	0	0
ENSG00000200231	chr20	24216391	24218390	RNU1-23P	NA	0	1	-1	-1	-6.658211483	5.84E-20	1.05E-17	146	1	1	2	0.666666667	0.333333333	0	0
ENSG00000230044	chr2	11805596	11807595	NA	NA	0	1	-1	-1	-6.658211483	9.42E-18	7.76E-16	282	1	2	1	0.333333333	0.666666667	0	0
ENSG00000239545	chr4	56081580	56083579	RN7SL822P	NA	0	1	-1	-1	-6.658211483	9.42E-18	7.76E-16	282	1	2	1	0.333333333	0.666666667	0	0
ENSG00000230796	chr7	57710326	57712325	NA	NA	0	1	-1	-1	-6.658211483	9.42E-18	7.76E-16	282	2	2	2	0.333333333	0.5	0	0
ENSG00000237639	chr7	57708727	57710726	NA	NA	0	1	-1	-1	-6.658211483	9.42E-18	7.76E-16	282	1	2	1	0.333333333	1	0	0
ENSG00000214851	chr12	9217167	9219166	LINC00612	253128	0	1	-1	-1	-6.658211483	9.42E-18	7.76E-16	282	1	2	1	0.333333333	1.333333333	0	0
ENSG00000257991	chr12	72228677	72230676	NA	NA	0	1	-1	-1	-6.658211483	9.42E-18	7.76E-16	282	1	2	1	0.333333333	1.666666667	0	0
ENSG00000101004	chr20	25565654	25567653	NINL	22981	0	1	-1	-1	-6.658211483	9.42E-18	7.76E-16	282	1	2	1	0.666666667	0.666666667	0	0
