id,Chromosome,Start,End,mean.mean.HSC,mean.mean.MPP,Difference,mean.mean.diff,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.HSC,mean.num.na.MPP,mean.mean.covg.HSC,mean.mean.covg.MPP,mean.nsamples.covg.thres5.HSC,mean.nsamples.covg.thres5.MPP
984810,chr17,78526000,78527400,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,1.333333333,0.666666667,0,0
1019195,chr19,7473600,7474000,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,0.666666667,0.666666667,0,0
1076544,chr20,61372400,61372800,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,0.666666667,0.666666667,0,0
1105605,chr22,41821200,41821600,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,0.666666667,0.666666667,0,0
1041017,chr19,49717800,49718400,1,0.5,0.5,0.5,3.329105741,4.86135E-12,2.37325E-10,709,2,2,0.5,0.333333333,1.333333333,0,0
556717,chr9,5851400,5852000,0.75,0.25,0.5,0.75,6.165318412,2.17073E-10,1.01696E-08,412,3,1.666666667,1.333333333,0.666666667,0.888888889,0,0
474408,chr7,73618800,73620000,1,0.5,0.5,0.5,3.329105741,3.56325E-10,1.57119E-08,709,2,0.5,1,0.833333333,0.833333333,0,0
950916,chr17,26600800,26602600,0.5,0,0.5,0,0,0.000530512,0.012132818,4170,2,1.5,2.5,0.666666667,0.5,0,0
29776,chr1,40818600,40819600,0.5,0,0.5,0.5,3.329105741,0.004044191,0.087003973,826,2,2,1.5,0.333333333,0.5,0,0
1014247,chr19,1364000,1364600,1,0.505952381,0.494047619,0.25,1.41369909,7.53645E-05,0.002673107,1827,15,2.466666667,1.133333333,0.177777778,0.911111111,0,0
588291,chr9,126702800,126703800,1,0.541666667,0.458333333,0.416666667,0.767440553,0.000780948,0.017633343,1851,2,2,1,0.333333333,1.5,0,0
1014804,chr19,2052400,2052800,0.583333333,0.136363636,0.446969697,0.388888889,1.135000409,3.41366E-08,1.40094E-06,1325,11,2.272727273,1.454545455,0.242424242,1.303030303,0,0
655761,chr10,79253000,79253400,1,0.555555556,0.444444444,0.444444444,0.836614638,0.00138244,0.030823035,1790,1,2,0,0.333333333,3,0,0
557723,chr9,7150200,7150400,0.5,0.0625,0.4375,0.4375,1.45166199,3.96401E-19,5.212E-17,1260,2,2,0.5,0.333333333,2.166666667,0,0
123910,chr2,32926800,32927600,1,0.583333333,0.416666667,0.416666667,0.767440553,0.000780948,0.017633343,1851,1,1,1,1,1.666666667,0,0
147444,chr2,97714000,97714200,1,0.583333333,0.416666667,0.416666667,0.767440553,0.000780948,0.017633343,1851,1,1,1,1,1.666666667,0,0
732873,chr11,120794600,120796000,1,0.583333333,0.416666667,0.416666667,0.767440553,0.000780948,0.017633343,1851,1,1,1,0.666666667,2.333333333,0,0
756072,chr12,31357800,31358400,1,0.583333333,0.416666667,0.416666667,0.767440553,0.000780948,0.017633343,1851,1,1,1,1,2.333333333,0,0
1030291,chr19,33772000,33772200,1,0.583333333,0.416666667,0.416666667,0.767440553,0.000780948,0.017633343,1851,1,1,1,0.666666667,1.666666667,0,0
1031233,chr19,35812000,35812200,1,0.583333333,0.416666667,0.416666667,0.767440553,0.000780948,0.017633343,1851,1,1,1,1,1.666666667,0,0
557722,chr9,7149600,7150200,0.785714286,0.375,0.410714286,0.392857143,3.440824497,0.000147057,0.005113893,1317,10,2,1.5,0.433333333,0.633333333,0,0
992457,chr18,11637800,11638200,0.5,0.9,-0.4,-0.5,-3.329105741,2.54079E-10,1.16365E-08,709,5,2.6,1.4,0.133333333,0.866666667,0,0
1014945,chr19,2258000,2258600,0.5,0.901190476,-0.401190476,-0.401851852,-2.902449519,1.50086E-07,6.07523E-06,1307,14,2.285714286,1.142857143,0.238095238,1.119047619,0,0.071428571
795807,chr12,133026000,133027200,0.5,0.916666667,-0.416666667,-0.416666667,-3.199015537,8.86988E-19,1.09457E-16,1292,2,2,0.5,0.5,1.333333333,0,0
1032786,chr19,38476600,38478200,0.583333333,1,-0.416666667,-0.416666667,-0.781812104,3.40774E-10,1.53305E-08,1834,2,1.5,1,1,0.833333333,0,0
1087345,chr21,45136400,45137000,0.583333333,1,-0.416666667,-0.416666667,-0.767440553,2.20695E-05,0.000798726,1851,1,1,0,1.666666667,2.333333333,0,0
383802,chr6,509600,510400,0.4375,0.857142857,-0.419642857,-0.3125,-1.767123863,1.81482E-10,8.57696E-09,1751,7,2.142857143,1.571428571,0.333333333,0.571428571,0,0
992794,chr18,12226000,12226600,0.571428571,1,-0.428571429,-0.4,-1.725956753,8.55976E-05,0.003023995,1308,7,1.571428571,2.142857143,0.476190476,0.666666667,0,0
2081,chr1,1071800,1072200,0.5,0.95,-0.45,-0.4375,-3.226534749,6.34689E-06,0.000236445,1260,5,2.2,0.8,0.266666667,1.466666667,0,0.2
396151,chr6,25364800,25365200,0,0.466666667,-0.466666667,-0.466666667,-5.574908836,0.001941705,0.042862234,1230,1,1,1,0.666666667,3.666666667,0,2
564360,chr9,36458400,36459200,0.333333333,0.8,-0.466666667,-0.666666667,-4.438807655,1.87584E-16,9.74669E-15,643,4,1.75,1.25,0.5,1.25,0,0.25
786760,chr12,113670400,113671600,0,0.5,-0.5,-0.5,-5.672425342,1.44956E-64,2.57587E-60,569,1,0,0,1,2,0,0
680419,chr10,133741200,133741400,0,0.5,-0.5,-0.5,-5.672425342,1.68934E-39,5.00326E-36,569,1,1,1,0.666666667,1.333333333,0,0
472930,chr7,69458200,69458600,0,0.5,-0.5,-0.5,-5.672425342,6.443E-33,1.65931E-30,569,1,0,2,1,0.666666667,0,0
103213,chr1,236094400,236095200,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,2,2.5,0.5,0.333333333,1.5,0,0
129442,chr2,45670000,45670200,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,2.333333333,0,0
317585,chr4,166099000,166099800,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,1.333333333,0,0
378296,chr5,173205800,173206200,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,2,0,0
381871,chr5,180241800,180242600,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,2.333333333,0,0
392160,chr6,15280600,15281000,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,1.333333333,0,0
794880,chr12,131464200,131464800,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,1.333333333,0,0
851022,chr14,92377600,92378400,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,1,0,0
857553,chr14,103519400,103520000,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,1,0,0
980564,chr17,73451000,73452000,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,3.333333333,0,0
1021478,chr19,11050400,11051200,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,2,0,0
1034277,chr19,40249400,40250200,0.5,1,-0.5,-0.5,-0.985786141,2.6919E-32,5.49829E-30,1493,1,2,0,0.666666667,1.666666667,0,0
837716,chr14,63935400,63937400,0.5,1,-0.5,-0.5,-3.329105741,1.5519E-27,2.99753E-25,709,2,1.5,0,0.5,1.666666667,0,0
963250,chr17,42365800,42366400,0,0.5,-0.5,-0.5,-5.672425342,1.17618E-20,1.63286E-18,569,1,2,1,0.333333333,1.333333333,0,0
985378,chr17,79024400,79024600,0,0.5,-0.5,-0.5,-5.672425342,1.17618E-20,1.63286E-18,569,1,2,1,0.666666667,1.333333333,0,0
1015799,chr19,3142200,3142600,0,0.5,-0.5,-0.5,-3.329105741,1.61034E-20,2.1844E-18,709,2,2,0.5,0.333333333,1.166666667,0,0
137009,chr2,65100400,65101000,0.5,1,-0.5,-0.5,-3.329105741,6.21658E-19,7.83466E-17,709,2,1.5,0,0.5,1.666666667,0,0
983947,chr17,77326000,77327600,0.5,1,-0.5,-0.5,-3.329105741,6.21658E-19,7.83466E-17,709,2,1.5,0,0.666666667,2.5,0,0.5
1019485,chr19,7774200,7774600,0.5,1,-0.5,-0.5,-3.329105741,6.21658E-19,7.83466E-17,709,2,1.5,0,0.5,1.166666667,0,0
982673,chr17,75829200,75829800,0.5,1,-0.5,-0.5,-3.329105741,8.03097E-19,9.97975E-17,709,2,2,0.5,0.333333333,1.666666667,0,0
836883,chr14,61831600,61832400,0.5,1,-0.5,-0.5,-3.329105741,9.23502E-19,1.13177E-16,709,2,2,0,0.333333333,2.666666667,0,0.5
939701,chr17,2025800,2027600,0,0.5,-0.5,-0.5,-3.329105741,1.12726E-18,1.35347E-16,709,2,2,1,0.5,1.666666667,0,0.5
555587,chr9,4424800,4425200,0,0.5,-0.5,-1,-6.658211483,8.22374E-18,5.35296E-16,158,2,2.5,1.5,0.166666667,1,0,0
555703,chr9,4560000,4560600,0,0.5,-0.5,-1,-6.658211483,8.22374E-18,5.35296E-16,158,2,2.5,1.5,0.166666667,0.5,0,0
6604,chr1,9290200,9290800,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,0.666666667,0,0
32658,chr1,45190000,45190800,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,2,2.5,1,0.333333333,0.833333333,0,0
72834,chr1,167635200,167637200,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,0.666666667,0,0
118916,chr2,25429200,25429800,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,3,2.666666667,1.666666667,0.222222222,0.777777778,0,0
121079,chr2,28357200,28358000,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1,0,0
198340,chr2,240138400,240138600,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1,0,0
199346,chr2,241926600,241927200,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,2.333333333,0,0
216834,chr3,42099000,42099600,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1.666666667,0,0
244270,chr3,125150600,125150800,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1,0,0
317242,chr4,164512600,164513800,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,2,2.5,0.5,0.333333333,1.166666667,0,0
397521,chr6,27652000,27652800,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1,0,0
398573,chr6,29623200,29624000,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1.333333333,0,0
404176,chr6,36307000,36308400,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1,0,0
463477,chr7,35763200,35764200,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1,0,0
722018,chr11,96197400,96197800,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,0.666666667,0,0
749692,chr12,12369800,12371400,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1.666666667,0,0
779235,chr12,101859200,101859600,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1.333333333,0,0
940729,chr17,3616800,3617200,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,0.666666667,0,0
991045,chr18,9701600,9702400,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1.333333333,0,0
1023297,chr19,13528000,13528200,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,2,0,0
1096035,chr22,26930800,26931800,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,0.666666667,0,0
1111371,chr22,50746400,50747600,0.5,1,-0.5,-0.5,-0.985786141,1.71795E-17,9.63028E-16,1493,1,2,1,0.666666667,1,0,0
402257,chr6,33882200,33883400,0.5,1,-0.5,-0.5,-3.329105741,1.96802E-10,9.25178E-09,709,2,1,1,0.666666667,1.5,0,0.5
1110571,chr22,48486000,48487400,0.5,1,-0.5,-0.5,-3.329105741,1.96802E-10,9.25178E-09,709,2,1.5,0.5,0.5,1.333333333,0,0
153080,chr2,111577600,111578400,0.5,1,-0.5,-0.5,-3.329105741,2.54079E-10,1.16365E-08,709,2,2,1,0.333333333,1.333333333,0,0
546222,chr8,130562200,130565600,0.5,1,-0.5,-0.5,-3.329105741,2.54079E-10,1.16365E-08,709,2,2,1,0.333333333,1.333333333,0,0
560386,chr9,21761400,21762000,0.5,1,-0.5,-0.5,-3.329105741,2.54079E-10,1.16365E-08,709,2,2,1,0.333333333,1.166666667,0,0
792291,chr12,123418800,123420800,0.5,1,-0.5,-0.5,-3.329105741,2.54079E-10,1.16365E-08,709,2,2,1,0.333333333,1.166666667,0,0
1068415,chr20,46043000,46046000,0.5,1,-0.5,-0.5,-3.329105741,2.92068E-10,1.32738E-08,709,2,2,0.5,0.5,1.333333333,0,0
404420,chr6,36591200,36592200,0.5,1,-0.5,-0.5,-3.329105741,3.56325E-10,1.57119E-08,709,3,2.333333333,1.333333333,0.222222222,1.444444444,0,0
939218,chr17,1495800,1497000,0.5,1,-0.5,-0.5,-3.329105741,3.56325E-10,1.57119E-08,709,2,1.5,1,0.666666667,2.333333333,0,0.5
982412,chr17,75435000,75436000,0.5,1,-0.5,-0.5,-3.329105741,3.56325E-10,1.57119E-08,709,2,2,1.5,0.333333333,0.833333333,0,0
1044352,chr19,54889200,54889600,0.5,1,-0.5,-0.5,-3.329105741,3.56325E-10,1.57119E-08,709,2,2,1.5,0.333333333,0.666666667,0,0
1070659,chr20,48657600,48658400,0.5,1,-0.5,-0.5,-3.329105741,3.56325E-10,1.57119E-08,709,2,1.5,1,0.666666667,1.333333333,0,0
1100220,chr22,35445800,35447800,0.5,1,-0.5,-0.5,-3.329105741,3.56325E-10,1.57119E-08,709,2,2,1.5,0.333333333,0.833333333,0,0
281017,chr4,7969600,7971000,0,0.5,-0.5,0,0,0.000530512,0.012132818,4170,2,2.5,1,0.166666667,0.666666667,0,0
560538,chr9,21986400,21986800,0,0.5,-0.5,0,0,0.000530512,0.012132818,4170,2,2.5,1,0.166666667,0.666666667,0,0
590557,chr9,129598000,129599000,0,0.5,-0.5,0,0,0.000530512,0.012132818,4170,2,2,2,0.666666667,0.666666667,0,0
992459,chr18,11639200,11639600,0,0.5,-0.5,0,0,0.000530512,0.012132818,4170,3,2.666666667,1.333333333,0.111111111,0.777777778,0,0
993864,chr18,13629200,13629800,0.444444444,1,-0.555555556,-0.555555556,-2.604629205,1.9372E-07,7.80589E-06,853,3,0.666666667,1,1,1,0,0
380384,chr5,176837400,176838200,0.416666667,1,-0.583333333,-0.583333333,-1.243173983,1.83561E-05,0.000668418,1171,1,1,0,1.666666667,1,0,0
