id,Chromosome,Start,End,symbol,entrezID,mean.mean.CMP,mean.mean.MLP,mean.mean.diff,difference,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.CMP,mean.num.na.MLP,mean.mean.covg.CMP,mean.mean.covg.MLP,mean.nsamples.covg.thres5.CMP,mean.nsamples.covg.thres5.MLP
ENSG00000237242,chr10,111292913,111294912,BTF3P15,NA,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,0.666666667,0.333333333,0,0
ENSG00000166796,chr11,18432354,18434353,LDHC,3948,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,0.666666667,0.333333333,0,0
ENSG00000238540,chr14,36872919,36874918,RNU7-93P,NA,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,1.666666667,0.333333333,0,0
ENSG00000263412,chr17,46124936,46126935,NA,NA,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,1,0.333333333,0,0
ENSG00000267748,chr19,38778291,38780290,NA,NA,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,1,0.333333333,0,0
ENSG00000158470,chr20,48329916,48331915,B4GALT5,9334,1,0.25,0.75,0.75,3.821998812,1.37E-10,1.32E-08,325,2,0.5,1,1.666666667,1,0,0
ENSG00000249359,chr5,21340985,21342984,NA,NA,0.611111111,0,0.466666667,0.611111111,3.683592198,2.23E-06,0.000136791,677,14,1.714285714,2.214285714,0.452380952,0.404761905,0,0
ENSG00000183666,chr5,21340442,21342441,GUSBP1,375513;728411,0.611111111,0,0.466666667,0.611111111,3.683592198,2.23E-06,0.000136791,677,14,1.714285714,2.214285714,0.452380952,0.404761905,0,0
ENSG00000256579,chr16,34230606,34232605,NA,NA,1,0.416666667,0.583333333,0.583333333,3.459195946,2.38E-10,2.19E-08,367,2,1,1.5,1,1,0,0
ENSG00000130997,chr4,2243349,2245348,POLN,353497,0.5625,0,0.5625,0.5625,5.206549492,2.03E-11,2.05E-09,267,2,1.5,1,1.166666667,1.333333333,0,0
ENSG00000214367,chr4,2243392,2245391,HAUS3,79441,0.5625,0,0.5625,0.5625,5.206549492,2.03E-11,2.05E-09,267,2,1.5,1,1.166666667,1.333333333,0,0
ENSG00000111335,chr12,113414700,113416699,OAS2,4939,1,0.5,0.5,0.5,0.985786141,9.08E-48,3.51E-44,1394,1,0,1,3,1.333333333,0,0
ENSG00000213604,chr11,55972602,55974601,NA,NA,1,0.5,0.5,0.5,0.985786141,2.74E-33,3.23E-30,1394,1,1,1,0.666666667,1.333333333,0,0
ENSG00000264193,chr18,23532933,23534932,NA,NA,1,0.5,0.5,0.5,0.985786141,2.74E-33,3.23E-30,1394,1,1,1,1.333333333,1.333333333,0,0
ENSG00000212590,chr7,152304898,152306897,NA,NA,1,0.5,1,0.5,6.658211483,7.52E-33,4.85E-30,27,2,1.5,2,1.166666667,0.666666667,0,0
ENSG00000125968,chr20,30191586,30193585,ID1,3397,1,0.5,1,0.5,6.658211483,7.52E-33,4.85E-30,27,2,1.5,2,1,0.333333333,0,0
ENSG00000064300,chr17,47571155,47573154,NGFR,4804,1,0.5,0.5,0.5,0.985786141,3.13E-32,1.66E-29,1394,1,0,2,2.333333333,0.666666667,0,0
ENSG00000230052,chr7,63565874,63567873,MTND3P2,NA,1,0.5,0.5,0.5,3.329105741,5.74E-19,1.53E-16,377,2,0.5,1,1,0.666666667,0,0
ENSG00000268626,chr17,72347772,72349771,NA,NA,1,0.5,0.5,0.5,3.329105741,6.79E-19,1.77E-16,377,2,0.5,1,1.166666667,1.166666667,0,0
ENSG00000206654,chr1,39586216,39588215,RNU6-608P,NA,1,0.5,0.5,0.5,3.329105741,1.23E-18,2.87E-16,377,2,0,1,3.333333333,2,0.5,0.5
ENSG00000196593,chr13,24520422,24522421,ANKRD20A19P,NA,1,0.5,0.5,0.5,0.985786141,1.67E-18,3.58E-16,1394,2,0.5,1.5,1.666666667,0.666666667,0.5,0
ENSG00000213605,chr2,87112355,87114354,NA,NA,1,0.5,1,0.5,6.658211483,9.65E-18,1.50E-15,149,2,2,1.5,0.333333333,0.833333333,0,0
ENSG00000240128,chr3,169621549,169623548,KRT18P43,NA,1,0.5,0.5,0.5,0.985786141,2.01E-17,2.85E-15,1394,1,1,2,0.666666667,0.666666667,0,0
ENSG00000236357,chr3,175786197,175788196,EI24P1,NA,1,0.5,0.5,0.5,0.985786141,2.01E-17,2.85E-15,1394,1,1,2,0.666666667,0.666666667,0,0
ENSG00000271413,chr3,175785395,175787394,NA,NA,1,0.5,0.5,0.5,0.985786141,2.01E-17,2.85E-15,1394,1,1,2,0.666666667,0.666666667,0,0
ENSG00000105849,chr7,19748211,19750210,TWISTNB,221830,1,0.5,0.5,0.5,0.985786141,2.01E-17,2.85E-15,1394,1,1,2,0.666666667,0.666666667,0,0
ENSG00000134283,chr12,42630749,42632748,PPHLN1,51535,1,0.5,0.5,0.5,0.985786141,2.01E-17,2.85E-15,1394,1,1,2,1,0.666666667,0,0
ENSG00000258358,chr12,84843158,84845157,NA,NA,1,0.5,0.5,0.5,0.985786141,2.01E-17,2.85E-15,1394,1,1,2,1.333333333,0.666666667,0,0
ENSG00000102755,chr13,29068766,29070765,FLT1,2321,1,0.5,0.5,0.5,0.985786141,2.01E-17,2.85E-15,1394,1,1,2,1,0.666666667,0,0
ENSG00000159082,chr21,34099860,34101859,SYNJ1,8867,1,0.5,0.5,0.5,0.985786141,2.01E-17,2.85E-15,1394,1,1,2,1,0.666666667,0,0
ENSG00000238197,chr21,34098926,34100925,PAXBP1-AS1,100506215,1,0.5,0.5,0.5,0.985786141,2.01E-17,2.85E-15,1394,1,1,2,1,0.666666667,0,0
ENSG00000158201,chr18,19284267,19286266,ABHD3,171586,1,0.5,0.5,0.5,3.329105741,3.33E-11,3.31E-09,377,3,2,2,0.444444444,0.666666667,0,0
ENSG00000188112,chr6,42109858,42111857,C6orf132,647024,1,0.5,0.5,0.5,3.329105741,2.15E-10,2.02E-08,377,2,0.5,1.5,1.666666667,1,0,0
ENSG00000106077,chr7,73152698,73154697,ABHD11,83451,1,0.5,0.5,0.5,3.329105741,2.15E-10,2.02E-08,377,3,1.333333333,1.666666667,0.555555556,0.444444444,0,0
ENSG00000237356,chr14,53634272,53636271,NA,NA,1,0.5,0.5,0.5,3.329105741,2.15E-10,2.02E-08,377,2,0.5,1.5,1.833333333,0.5,0,0
ENSG00000237742,chr6,126069837,126071836,NA,NA,1,0.5,0.5,0.5,3.329105741,2.78E-10,2.52E-08,377,2,1.5,1.5,0.833333333,0.666666667,0,0
ENSG00000164002,chr1,40972913,40974912,EXO5,64789,1,0.5,0.5,0.5,3.329105741,3.20E-10,2.81E-08,377,2,0.5,2,0.833333333,0.333333333,0,0
ENSG00000187870,chr17,20657315,20659314,RNFT1P3,NA,1,0.5,0.5,0.5,3.329105741,3.20E-10,2.81E-08,377,2,1.5,1,0.833333333,0.666666667,0,0
ENSG00000082641,chr17,46124191,46126190,NFE2L1,4779,1,0.5,0.5,0.5,3.329105741,3.90E-10,3.13E-08,377,2,1,1.5,1.166666667,0.5,0,0
ENSG00000267470,chr19,38038316,38040315,ZNF571-AS1,100507433,1,0.5,0.5,0.5,3.329105741,3.90E-10,3.13E-08,377,2,0.5,1,2,1.833333333,0.5,0
ENSG00000113742,chr5,173313783,173315782,CPEB4,80315,0.977777778,0.5,0.477777778,0.477777778,2.515160628,2.07E-13,2.45E-11,673,3,1,0.666666667,1.444444444,1.111111111,0.333333333,0
ENSG00000111077,chr12,53439253,53441252,TENC1,23371,0.777777778,0.317777778,0.46,0.46,2.761647819,7.56E-09,5.47E-07,687,5,0.8,0.8,1.733333333,1.466666667,0.2,0.2
ENSG00000090621,chr1,40041963,40043962,PABPC4,8761;100996696,0.833333333,0.388888889,0.444444444,0.444444444,2.778482179,2.57E-08,1.77E-06,717,3,0.666666667,0.333333333,1.333333333,2.111111111,0,0.333333333
ENSG00000214650,chr12,124996268,124998267,NA,NA,0.916666667,0.476190476,0.44047619,0.440476191,3.233853187,3.70E-10,3.08E-08,731,2,0.5,1,2,3,0.5,1
ENSG00000079332,chr10,71929780,71931779,SAR1A,56681,0.875,0.444444444,0.430555556,0.430555556,2.411550412,3.13E-13,3.50E-11,739,3,0.333333333,1.666666667,2.888888889,0.888888889,0.666666667,0
ENSG00000198010,chr8,1448032,1450031,DLGAP2,9228,0.916666667,0.5,0.416666667,0.416666667,3.199015537,2.23E-10,2.07E-08,754,2,0.5,1,2,2.333333333,0.5,1
ENSG00000214100,chr2,130691391,130693390,NA,389033,0.5,0.083333333,0.416666667,0.416666667,2.053721235,1.53E-06,9.46E-05,754,5,1.4,1.2,0.6,0.6,0,0
ENSG00000231966,chr1,179804760,179806759,NA,NA,0.6,1,-0.4,-0.4,-0.727474145,2.09E-17,2.85E-15,2092,1,2,1,1.666666667,1,1,0
ENSG00000087266,chr4,2793250,2795249,SH3BP2,6452,0,0.407407407,-0.407407407,-0.407407407,-3.731881871,9.82E-14,1.20E-11,798,3,0.333333333,0.333333333,2.555555556,2.222222222,0.666666667,0
ENSG00000179755,chr16,34255007,34257006,NA,NA,0.5,0.916666667,-0.416666667,-0.416666667,-0.855695936,1.84E-18,3.72E-16,1853,2,1.5,0,0.833333333,1.5,0,0
ENSG00000161960,chr17,7474524,7476523,EIF4A1,1973;26781;652965;652966,0.583333333,1,-0.416666667,-0.416666667,-0.981185968,1.89E-13,2.26E-11,1662,3,1,0,1.111111111,2.333333333,0,0.333333333
ENSG00000264772,chr17,7474644,7476643,SNORA67,26781;101928634,0.583333333,1,-0.416666667,-0.416666667,-0.981185968,1.89E-13,2.26E-11,1662,3,1,0,1.111111111,2.333333333,0,0.333333333
ENSG00000231202,chr7,38335335,38337334,TRGVB,NA,0.583333333,1,-0.416666667,-0.416666667,-0.767440553,2.24E-05,0.001232608,2027,1,1,0,1.666666667,2,0,0
ENSG00000054796,chr20,55903315,55905314,SPO11,23626,0.583333333,1,-0.416666667,-0.416666667,-0.767440553,2.24E-05,0.001232608,2027,2,2,1,0.833333333,0.666666667,0,0
ENSG00000146267,chr6,99797439,99799438,FAXC,84553,0.577777778,1,-0.422222222,-0.422222222,-0.793755216,0.000964161,0.04494384,1974,2,0.5,0,2.166666667,2.666666667,0.5,0.5
ENSG00000185633,chr12,57633999,57635998,NDUFA4L2,56901,0.572222222,1,-0.427777778,-0.427777778,-0.794713483,9.87E-05,0.005100261,1973,1,0,0,4,3,1,1
ENSG00000145248,chr4,48483860,48485859,SLC10A4,201780,0.041666667,0.472222222,-0.430555556,-0.430555555,-3.852432141,7.70E-19,1.93E-16,741,2,0,1,2.833333333,1.833333333,0.5,0
ENSG00000179335,chr15,74889341,74891340,CLK3,1198,0,0.444444444,-0.444444444,-0.444444444,-5.506032031,1.43E-05,0.000801965,728,1,0,0,3,3,0,0
ENSG00000174307,chr1,201437866,201439865,PHLDA3,23612,0.5,0.95,-0.4375,-0.45,-3.226534749,6.96E-06,0.00040915,732,5,1.6,0.4,0.733333333,1.666666667,0,0.2
ENSG00000171360,chr17,39596674,39598673,KRT38,8687,0.041666667,0.5,-0.458333333,-0.458333333,-1.717909531,3.15E-19,8.78E-17,850,2,0,1,2.666666667,1.166666667,0.5,0
ENSG00000124181,chr20,39764100,39766099,PLCG1,5335,0.537037037,1,-0.462962963,-0.462962963,-0.905267886,2.79E-13,3.17E-11,1777,3,1,0.333333333,1.444444444,1.666666667,0,0.333333333
ENSG00000123095,chr12,26277561,26279560,BHLHE41,79365,0,0.495039683,-0.495039683,-0.495039683,-5.646468153,7.92E-06,0.000459424,671,2,0,0,2.666666667,5.5,0.5,2
ENSG00000254231,chr8,87355044,87357043,NA,NA,0.5,1,-0.5,-0.5,-0.985786141,6.43E-63,1.74E-58,1521,1,0,0,2,1.333333333,0,0
ENSG00000132581,chr17,26988708,26990707,SDF2,6388,0.5,1,-0.5,-0.5,-0.985786141,1.69E-47,5.08E-44,1521,1,1,0,2.666666667,4,1,2
ENSG00000109111,chr17,26987609,26989608,SUPT6H,6830,0.5,1,-0.5,-0.5,-0.985786141,1.69E-47,5.08E-44,1521,1,1,0,2.666666667,4,1,2
ENSG00000212498,chr20,2635243,2637242,SNORD86,692201,0,0.5,-0.5,-0.5,-5.672425342,5.53E-37,1.15E-33,290,1,1,1,0.666666667,2,0,0
ENSG00000229686,chr20,2635770,2637769,SNORD56,26793,0,0.5,-0.5,-0.5,-5.672425342,5.53E-37,1.15E-33,290,1,1,1,0.666666667,2,0,0
ENSG00000226572,chr20,2636085,2638084,SNORD57,26792,0,0.5,-0.5,-0.5,-5.672425342,5.53E-37,1.15E-33,290,1,1,1,0.666666667,2,0,0
ENSG00000166664,chr15,30685553,30687552,CHRFAM7A,89832;101929970;101930361,0,0.5,-0.5,-0.5,-5.672425342,7.52E-33,4.85E-30,290,1,0,2,1.333333333,0.666666667,0,0
ENSG00000237418,chr3,196024587,196026586,NA,NA,0.5,1,-0.5,-0.5,-0.985786141,3.13E-32,1.66E-29,1521,1,2,0,0.666666667,1.666666667,0,0
ENSG00000238464,chr6,74103237,74105236,NA,NA,0.5,1,-0.5,-0.5,-0.985786141,3.13E-32,1.66E-29,1521,1,2,0,1.333333333,1.666666667,0,0
ENSG00000271631,chr9,115645938,115647937,NA,NA,0.5,1,-0.5,-0.5,-0.985786141,3.13E-32,1.66E-29,1521,1,2,0,0.666666667,1.666666667,0,0
ENSG00000256400,chr12,11249374,11251373,NA,NA,0.5,1,-0.5,-0.5,-0.985786141,3.13E-32,1.66E-29,1521,1,2,0,0.666666667,2.333333333,0,0
ENSG00000160226,chr21,45758786,45760785,C21orf2,755,0.5,1,-0.5,-0.5,-0.985786141,3.13E-32,1.66E-29,1521,2,2.5,1,0.333333333,0.833333333,0,0
ENSG00000111674,chr12,7021409,7023408,ENO2,2026,0.5,1,-0.5,-0.5,-3.329105741,1.14E-27,4.35E-25,377,2,1,0,1.166666667,2.333333333,0,0
ENSG00000230813,chr1,246688832,246690831,NA,NA,0,0.5,-0.5,-0.5,-5.672425342,2.53E-19,7.13E-17,290,1,1,2,1,0.666666667,0,0
ENSG00000261815,chr16,49202963,49204962,NA,NA,0,0.5,-0.5,-0.5,-5.672425342,2.53E-19,7.13E-17,290,1,2,1,0.666666667,1.333333333,0,0
ENSG00000128271,chr22,24812347,24814346,ADORA2A,135,0,0.5,-0.5,-0.5,-5.672425342,2.53E-19,7.13E-17,290,1,2,1,1,2,0,0
ENSG00000108064,chr10,60143282,60145281,TFAM,7019,0.5,1,-0.5,-0.5,-3.329105741,8.77E-19,2.14E-16,377,2,2,0.5,0.333333333,1.333333333,0,0
ENSG00000243790,chr15,72902661,72904660,RN7SL485P,NA,0.5,1,-0.5,-0.5,-3.329105741,1.01E-18,2.42E-16,377,2,2,0,0.333333333,1.666666667,0,0
ENSG00000242580,chr2,90247239,90249238,IGKV1D-43,NA,0.5,1,-0.5,-0.5,-0.985786141,2.01E-17,2.85E-15,1521,2,2.5,1.5,0.333333333,0.5,0,0
ENSG00000064012,chr2,202096666,202098665,CASP8,841,0.5,1,-0.5,-0.5,-0.985786141,2.01E-17,2.85E-15,1521,1,2,1,0.666666667,0.666666667,0,0
ENSG00000187546,chr7,15601141,15603140,AGMO,392636,0.5,1,-0.5,-0.5,-0.985786141,2.01E-17,2.85E-15,1521,1,2,1,0.666666667,1,0,0
ENSG00000122367,chr10,88426706,88428705,LDB3,11155,0.5,1,-0.5,-0.5,-0.985786141,2.01E-17,2.85E-15,1521,1,2,1,0.666666667,1,0,0
ENSG00000167232,chr19,23577863,23579862,ZNF91,7644,0.5,1,-0.5,-0.5,-3.329105741,1.84E-11,1.88E-09,377,2,1,1,1,0.833333333,0,0
ENSG00000258136,chr12,108128832,108130831,NA,101929162,0,0.5,-0.5,-0.5,-3.329105741,3.33E-11,3.31E-09,377,2,0.5,1,2.833333333,2,0,0.5
ENSG00000211921,chr14,106368030,106370029,IGHD5-12,NA,0.444444444,0.944444444,-0.5,-0.5,-3.329105741,3.33E-11,3.31E-09,377,2,0.5,1,1.833333333,1.666666667,0,0
ENSG00000206814,chr5,17117296,17119295,NA,NA,0.5,1,-0.5,-0.5,-3.329105741,2.15E-10,2.02E-08,377,2,1.5,0.5,1.166666667,1.666666667,0,0
ENSG00000104517,chr8,103424570,103426569,UBR5,51366,0.5,1,-0.5,-0.5,-3.329105741,2.15E-10,2.02E-08,377,2,1.5,0.5,0.666666667,1.5,0,0
ENSG00000119314,chr9,115095448,115097447,PTBP3,9991,0.5,1,-0.5,-0.5,-3.329105741,2.78E-10,2.52E-08,377,2,2,1,0.5,0.833333333,0,0
ENSG00000152953,chr4,5051669,5053668,STK32B,55351,0,0.5,-0.5,-0.5,-3.329105741,3.90E-10,3.13E-08,377,2,1,0.5,2.333333333,2,0.5,0.5
ENSG00000271664,chr7,148974584,148976583,NA,NA,0.5,1,-0.5,-0.5,-3.329105741,3.90E-10,3.13E-08,377,2,1.5,1,1.333333333,1.5,0,0
ENSG00000261437,chr8,95651196,95653195,NA,100288748,0.5,1,-0.5,-0.5,-3.329105741,3.90E-10,3.13E-08,377,2,1,0.5,0.833333333,2,0,0
ENSG00000104413,chr8,95651802,95653801,ESRP1,54845,0.5,1,-0.5,-0.5,-3.329105741,3.90E-10,3.13E-08,377,2,1,0.5,0.833333333,2,0,0
ENSG00000254585,chr15,23890676,23892675,MAGEL2,54551,0.5,1,-0.5,-0.5,-3.329105741,3.90E-10,3.13E-08,377,2,1.5,1,0.666666667,0.833333333,0,0
ENSG00000101898,chr20,30133807,30135806,NA,100101490,0.5,1,-0.5,-0.5,-3.329105741,3.90E-10,3.13E-08,377,2,2,1.5,0.333333333,0.666666667,0,0
ENSG00000233538,chr2,232315406,232317405,NA,NA,0,0.511111111,-0.511111111,-0.511111111,-5.703519111,0.000893532,0.041723324,580,1,1,0,1,3.666666667,0,1
ENSG00000255081,chr11,75623745,75625744,NA,NA,0.472222222,1,-0.527777778,-0.527777778,-3.369916823,7.03E-19,1.79E-16,374,2,1,0,2.333333333,2,1,0
ENSG00000238909,chr12,103631754,103633753,NA,NA,0.472222222,1,-0.527777778,-0.527777778,-3.369916823,2.23E-10,2.07E-08,374,2,1,0.5,1.666666667,1.5,0.5,0
ENSG00000247626,chr2,198568587,198570586,MARS2,92935,0.462962963,1,-0.305555556,-0.537037037,-0.576963366,8.32E-28,3.27E-25,2717,3,0.666666667,1.333333333,1.888888889,1,0.333333333,0
ENSG00000233956,chr21,34890916,34892915,BTF3P6,NA,0.325,0.875,-0.55,-0.55,-1.424073637,2.85E-10,2.55E-08,1043,2,1.5,1,1.666666667,1,0.5,0
ENSG00000174788,chr19,7698135,7700134,PCP2,126006,0.45,1,-0.55,-0.55,-1.134649527,3.76E-06,0.000225516,1252,1,1,0,2.333333333,1,1,0
ENSG00000065559,chr17,11922641,11924640,MAP2K4,6416,0.166666667,0.75,-0.583333333,-0.583333333,-3.614549399,2.76E-11,2.78E-09,342,2,1,1.5,1,0.666666667,0,0
ENSG00000109047,chr17,9808439,9810438,RCVRN,5957,0.125,0.75,-0.625,-0.625,-3.815098553,1.51E-18,3.37E-16,330,2,1.5,0.5,1,1.666666667,0,0
ENSG00000178412,chr18,77439246,77441245,NA,284241,0.166666667,0.819444444,-0.652777778,-0.652777777,-3.788286507,7.25E-11,7.03E-09,331,2,1.5,0.5,1.166666667,1.833333333,0,0
ENSG00000060069,chr18,77438301,77440300,CTDP1,9150,0.166666667,0.819444444,-0.652777778,-0.652777777,-3.788286507,7.25E-11,7.03E-09,331,2,1.5,0.5,1.166666667,1.833333333,0,0
ENSG00000119514,chr9,101568481,101570480,GALNT12,79695,0.166666667,1,-0.833333333,-0.833333333,-4.10744247,4.42E-37,1.15E-33,319,2,0.5,0,1.5,2.666666667,0,0
ENSG00000207738,chr19,54209207,54211206,MIR520C,574476,0,1,-1,-1,-6.658211483,2.03E-48,9.15E-45,5,1,1,0,1.666666667,2.333333333,0,0
ENSG00000207553,chr19,54210489,54212488,MIR518C,574477,0,1,-1,-1,-6.658211483,2.03E-48,9.15E-45,5,1,1,0,1.666666667,2.333333333,0,0
ENSG00000121089,chr4,165862942,165864941,NACA3P,NA,0,1,-1,-1,-6.658211483,1.34E-33,2.14E-30,16,1,1,1,1,1.333333333,0,0
ENSG00000258619,chr14,32711800,32713799,NA,NA,0,1,-1,-1,-6.658211483,1.34E-33,2.14E-30,16,1,1,1,1,1.666666667,0,0
ENSG00000250947,chr5,135637945,135639944,TRPC7-AS2,NA,0,1,-1,-1,-6.658211483,1.81E-33,2.45E-30,18,1,0,2,2.666666667,0.333333333,0,0
ENSG00000189320,chr7,135433095,135435094,FAM180A,389558,0,1,-1,-1,-6.658211483,1.81E-33,2.45E-30,18,1,0,2,1,0.333333333,0,0
ENSG00000236130,chr9,100571791,100573790,NA,101928337,0,1,-1,-1,-6.658211483,1.81E-33,2.45E-30,18,1,0,2,1.333333333,1.333333333,0,0
ENSG00000230044,chr2,11805596,11807595,NA,NA,0,1,-1,-1,-6.658211483,7.52E-33,4.85E-30,27,1,2,0,0.333333333,1.333333333,0,0
ENSG00000149131,chr11,57363360,57365359,SERPING1,710,0,1,-1,-1,-6.658211483,7.52E-33,4.85E-30,27,1,2,0,0.333333333,4.333333333,0,1
ENSG00000174684,chr11,66114664,66116663,B3GNT1,11041,0,1,-1,-1,-6.658211483,7.52E-33,4.85E-30,27,1,2,0,0.333333333,1,0,0
ENSG00000214851,chr12,9217167,9219166,LINC00612,253128,0,1,-1,-1,-6.658211483,7.52E-33,4.85E-30,27,1,2,0,0.333333333,2.333333333,0,0
ENSG00000257991,chr12,72228677,72230676,NA,NA,0,1,-1,-1,-6.658211483,7.52E-33,4.85E-30,27,1,2,0,0.333333333,2,0,0
ENSG00000271707,chr2,60962351,60964350,ATP1B3P1,NA,0,1,-1,-1,-6.658211483,1.21E-19,3.71E-17,78,1,1,2,0.666666667,0.333333333,0,0
ENSG00000272010,chr8,66504208,66506207,NA,NA,0,1,-1,-1,-6.658211483,1.21E-19,3.71E-17,78,1,1,2,1,0.333333333,0,0
ENSG00000200714,chr8,66503466,66505465,NA,NA,0,1,-1,-1,-6.658211483,1.21E-19,3.71E-17,78,1,1,2,1,0.333333333,0,0
ENSG00000211933,chr14,106405609,106407608,IGHV6-1,NA,0,1,-1,-1,-6.658211483,1.21E-19,3.71E-17,78,1,1,2,0.666666667,0.333333333,0,0
ENSG00000259310,chr15,83085881,83087880,NA,NA,0,1,-1,-1,-6.658211483,1.21E-19,3.71E-17,78,1,1,2,1,0.666666667,0,0
ENSG00000200231,chr20,24216391,24218390,RNU1-23P,NA,0,1,-1,-1,-6.658211483,1.21E-19,3.71E-17,78,1,1,2,0.666666667,0.333333333,0,0
ENSG00000183733,chr2,71017276,71019275,FIGLA,344018,0,1,-1,-1,-6.658211483,9.65E-18,1.50E-15,149,2,2.5,1.5,0.166666667,0.5,0,0
ENSG00000239545,chr4,56081580,56083579,RN7SL822P,NA,0,1,-1,-1,-6.658211483,9.65E-18,1.50E-15,149,1,2,1,0.333333333,2,0,0
ENSG00000109436,chr4,141676775,141678774,TBC1D9,23158,0,1,-1,-1,-6.658211483,9.65E-18,1.50E-15,149,1,2,1,0.333333333,1,0,0
ENSG00000273472,chr4,141676182,141678181,NA,NA,0,1,-1,-1,-6.658211483,9.65E-18,1.50E-15,149,1,2,1,0.333333333,1,0,0
ENSG00000244219,chr7,99194189,99196188,NA,NA,0,1,-1,-1,-6.658211483,9.65E-18,1.50E-15,149,1,2,1,0.333333333,0.666666667,0,0
