id,Chromosome,Start,End,mean.mean.CLP,mean.mean.GMP,mean.mean.diff,Difference,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.CLP,mean.num.na.GMP,mean.mean.covg.CLP,mean.mean.covg.GMP,mean.nsamples.covg.thres5.CLP,mean.nsamples.covg.thres5.GMP
561859,chr9,33226800,33227400,0.666666667,0,0.666666667,0.666666667,6.080373416,2.71447E-19,1.83056E-16,116,1,2,1,1,0.666666667,0,0
111088,chr2,8659000,8659800,1,0.333333333,0.666666667,0.666666667,1.556673456,1.89136E-17,5.55095E-15,633,1,1,2,1.666666667,1,0,0
554537,chr9,1923000,1923600,0.966666667,0.305555556,0.661111111,0.661111111,3.630563877,5.88533E-19,3.34875E-16,279,2,0.5,0.5,2.166666667,1.666666667,0.5,0.5
88513,chr1,205202800,205203400,0.583333333,0,0.583333333,0.583333333,5.89077093,0.000700069,0.0904032,144,1,1,1,1.666666667,0.666666667,0,0
317241,chr4,164511600,164512600,0.583333333,0,0.583333333,0.583333333,5.89077093,0.000700069,0.0904032,144,1,1,1,1.666666667,0.666666667,0,0
6760,chr1,9472600,9473400,0.577777778,0,0.577777778,0.577777778,5.877198911,0.000118435,0.016336845,151,1,0,1,3.666666667,0.666666667,1,0
199109,chr2,241559800,241560200,0.533333333,0,0.533333333,0.533333333,5.763765654,5.93441E-06,0.000900447,176,1,0,1,3,1,1,0
26453,chr1,36673400,36674200,0.533333333,0,0.533333333,0.533333333,5.763765654,8.01118E-05,0.011307558,177,1,1,0,2.666666667,1,1,0
512872,chr8,22735000,22735800,1,0.5,0.5,0.5,0.985786141,9.09481E-48,1.53922E-43,900,1,0,1,2.333333333,1.333333333,0,0
1018949,chr19,7186800,7187600,1,0.5,0.5,0.5,0.985786141,2.74555E-33,1.14303E-29,900,1,1,1,1.333333333,1.333333333,0,0
173233,chr2,174739200,174739400,1,0.5,0.5,0.5,0.985786141,3.13746E-32,3.09123E-29,900,1,0,2,1.666666667,0.666666667,0,0
669780,chr10,105131800,105132600,1,0.5,0.5,0.5,0.985786141,3.13746E-32,3.09123E-29,900,1,0,2,1,0.666666667,0,0
1058966,chr20,31259800,31260200,1,0.5,0.5,0.5,0.985786141,3.13746E-32,3.09123E-29,900,1,0,2,2,0.666666667,0,0
657483,chr10,81697200,81698400,1,0.5,0.5,0.5,3.329105741,1.00873E-18,5.40204E-16,320,2,0,2,2,0.5,0,0
375753,chr5,169730800,169731200,1,0.5,0.5,0.5,0.985786141,2.0121E-17,5.55095E-15,900,1,1,2,1.333333333,0.666666667,0,0
519929,chr8,41485400,41485800,1,0.5,0.5,0.5,0.985786141,2.0121E-17,5.55095E-15,900,1,1,2,1.666666667,0.666666667,0,0
593283,chr9,132998000,132998200,1,0.5,0.5,0.5,0.985786141,2.0121E-17,5.55095E-15,900,2,1,2.5,1.333333333,0.333333333,0,0
749442,chr12,11974400,11977400,1,0.5,0.5,0.5,0.985786141,2.0121E-17,5.55095E-15,900,1,1,2,0.666666667,0.666666667,0,0
396461,chr6,25996800,25997400,1,0.5,0.5,0.5,3.329105741,1.985E-11,4.30273E-09,320,2,1,1,3,1.333333333,1,0
287055,chr4,38887200,38888200,1,0.5,0.5,0.5,3.329105741,2.15583E-10,4.46062E-08,320,2,0.5,1.5,1.333333333,0.833333333,0,0
792247,chr12,123366200,123366400,1,0.5,0.5,0.5,0.985786141,0.000169,0.023136416,899,1,0,1,3.333333333,2,1,0
557116,chr9,6575600,6576200,1,0.555555556,0.444444444,0.444444444,2.412016516,2.2644E-13,5.49737E-11,445,3,0.333333333,1,2.222222222,1.333333333,0.666666667,0
992781,chr18,12199400,12199800,0.763888889,0.333333333,0.430555556,0.430555556,3.919899672,2.98134E-14,7.53947E-12,481,6,0.833333333,1,0.944444444,0.777777778,0,0
297885,chr4,81973200,81974200,1,0.583333333,0.416666667,0.416666667,0.767440553,2.2395E-05,0.003262151,1311,1,0,1,1.333333333,1.666666667,0,0
1013586,chr19,611600,611800,0.944444444,0.541666667,0.402777778,0.402777778,2.209295957,3.04931E-06,0.000491344,530,4,0.25,1,2.333333333,1.333333333,0,0.25
39591,chr1,59474200,59474400,1,0.6,0.4,0.4,0.727474145,3.37777E-32,3.09123E-29,1351,1,0,2,1.333333333,1.666666667,0,1
560536,chr9,21979000,21979400,0.225,0.666666667,-0.441666667,-0.441666667,-3.118093777,3.92253E-19,2.30392E-16,462,2,1,0.5,1.5,1.166666667,0.5,0
687085,chr11,9263400,9264600,0.5,0.944444444,-0.444444444,-0.444444444,-3.245035445,2.23132E-10,4.56494E-08,448,2,1,0.5,1.5,2.333333333,0.5,0.5
366039,chr5,142599800,142603000,0.555555556,1,-0.444444444,-0.444444444,-0.836614638,8.67601E-07,0.000142318,1216,1,0,0,3.333333333,3.666666667,1,1
1034236,chr19,40189600,40191200,0.5,1,-0.5,-0.5,-0.985786141,1.69071E-47,1.53922E-43,994,1,1,0,2,1.666666667,0,0
1091370,chr22,19607600,19608000,0,0.5,-0.5,-0.5,-5.672425342,7.53312E-33,1.14303E-29,185,1,0,2,2.333333333,0.666666667,0,0
747268,chr12,7905600,7906400,0.5,1,-0.5,-0.5,-0.985786141,2.88775E-19,1.87786E-16,994,1,1,2,1.333333333,0.666666667,0,0
114690,chr2,15452400,15453000,0.5,1,-0.5,-0.5,-0.985786141,2.0121E-17,5.55095E-15,994,1,2,1,1.333333333,2,0,0
144768,chr2,86471600,86471800,0.5,1,-0.5,-0.5,-0.985786141,2.0121E-17,5.55095E-15,994,1,2,1,0.666666667,0.666666667,0,0
218011,chr3,44086400,44088000,0.5,1,-0.5,-0.5,-0.985786141,2.0121E-17,5.55095E-15,994,1,2,1,0.666666667,1,0,0
943343,chr17,7039400,7039600,0.5,1,-0.5,-0.5,-0.985786141,2.0121E-17,5.55095E-15,994,1,2,1,0.666666667,1.333333333,0,0
1019769,chr19,8130400,8130800,0.5,1,-0.5,-0.5,-0.985786141,2.0121E-17,5.55095E-15,994,1,2,1,1.333333333,1,0,0
1049433,chr20,3082600,3083200,0,0.5,-0.5,-0.5,-5.672425342,3.3078E-11,7.0033E-09,185,2,1,1.5,1.333333333,1.166666667,0,0
742772,chr12,1712200,1713800,0.444444444,1,-0.555555556,-0.555555556,-1.152179451,7.37328E-07,0.000122048,828,1,0,0,4,2,1,0
932118,chr16,81830200,81831200,0.416666667,1,-0.583333333,-0.583333333,-3.459195946,3.14781E-19,1.91051E-16,310,2,0,1,2.333333333,2.5,0.5,0.5
412952,chr6,53305000,53305800,0.416666667,1,-0.583333333,-0.583333333,-1.243173983,0.000700069,0.0904032,782,1,1,1,1.666666667,0.666666667,0,0
423831,chr6,106643600,106644000,0.333333333,1,-0.666666667,-0.666666667,-1.556673456,1.89136E-17,5.55095E-15,635,1,2,1,1,0.666666667,0,0
45542,chr1,85319600,85320000,0.25,1,-0.75,-0.75,-1.957771765,1.82706E-17,5.55095E-15,536,1,2,1,2.666666667,1,1,0
961848,chr17,40676200,40676600,0.194444444,1,-0.805555556,-0.805555556,-3.999253967,1.40678E-11,3.08611E-09,269,2,0.5,2,1.666666667,0.333333333,0,0
557530,chr9,6955600,6956000,0.125,1,-1,-0.875,-6.658211483,1.38654E-19,1.00984E-16,24,4,0.5,2.75,1,0.083333333,0,0
665611,chr10,99315000,99315600,0,1,-1,-1,-6.658211483,1.34501E-33,8.16333E-30,3,1,1,1,0.666666667,0.666666667,0,0
106115,chr1,246495200,246496000,0,1,-1,-1,-6.658211483,9.66098E-18,3.25754E-15,38,1,2,1,0.333333333,0.666666667,0,0
576160,chr9,97575200,97575400,0,1,-1,-1,-6.658211483,9.66098E-18,3.25754E-15,38,1,2,1,0.333333333,1.333333333,0,0
704619,chr11,62195000,62195800,0,1,-1,-1,-6.658211483,9.66098E-18,3.25754E-15,38,1,2,1,0.666666667,0.666666667,0,0
950822,chr17,26398600,26399600,0,1,-1,-1,-6.658211483,9.66098E-18,3.25754E-15,38,1,2,1,0.333333333,0.666666667,0,0
1072870,chr20,52510000,52511800,0,1,-1,-1,-6.658211483,9.66098E-18,3.25754E-15,38,1,2,1,0.333333333,1,0,0
