id,Chromosome,Start,End,symbol,entrezID,mean.mean.CLP,mean.mean.GMP,mean.mean.diff,Difference,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.CLP,mean.num.na.GMP,mean.mean.covg.CLP,mean.mean.covg.GMP,mean.nsamples.covg.thres5.CLP,mean.nsamples.covg.thres5.GMP
ENSG00000241613,chr13,53830712,53832711,RN7SL618P,NA,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,0.666666667,0.333333333,0,0
ENSG00000221358,chr15,30904574,30906573,NA,NA,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,1.333333333,0.333333333,0,0
ENSG00000101439,chr20,23618611,23620610,CST3,1471,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,0.666666667,0.333333333,0,0
ENSG00000214883,chr11,50366713,50368712,NA,NA,0.857142857,0,0.857142857,0.857142857,6.438197784,5.59326E-33,1.88092E-29,71,1,2,0,2.333333333,1.333333333,1,0
ENSG00000235741,chr1,54982433,54984432,NA,NA,1,0.333333333,0.666666667,0.666666667,1.556673456,2.78172E-32,4.19887E-29,753,1,0,2,1.333333333,1,0,0
ENSG00000254216,chr8,57165432,57167431,NA,NA,1,0.333333333,0.666666667,0.666666667,1.556673456,2.78172E-32,4.19887E-29,753,1,0,2,3,1,1,0
ENSG00000168421,chr4,40191173,40193172,RHOH,399,1,0.333333333,0.666666667,0.666666667,3.618024775,6.34401E-19,4.64433E-16,253,2,1,1,1.166666667,1,0,0
ENSG00000253672,chr8,117415496,117417495,NA,NA,1,0.333333333,0.666666667,0.666666667,1.556673456,1.89136E-17,6.64655E-15,753,1,1,2,0.666666667,1,0,0
ENSG00000101236,chr20,3995730,3997729,RNF24,11237,1,0.333333333,0.666666667,0.666666667,1.556673456,1.89136E-17,6.64655E-15,753,1,1,2,1,1,0,0
ENSG00000166747,chr16,71842605,71844604,AP1G1,164,0.916666667,0.25,0.666666667,0.666666667,3.691908607,1.81558E-10,4.63948E-08,250,2,0.5,2,1.166666667,0.666666667,0,0
ENSG00000235790,chr1,32108150,32110149,NA,NA,1,0.388888889,0.611111111,0.611111111,1.34029645,2.80676E-05,0.003690618,904,1,1,0,1.666666667,2.666666667,0,0
ENSG00000270849,chr19,34616378,34618377,CHCHD2P3,NA,0.608333333,0,0.608333333,0.608333333,5.877443751,2.13802E-11,5.79125E-09,146,2,1,1,2.333333333,0.666666667,0.5,0
ENSG00000260777,chr17,26592896,26594895,NA,NA,1,0.416666667,0.583333333,0.583333333,3.459195946,7.03115E-19,4.99047E-16,276,2,0,1,1.833333333,1.166666667,0,0
ENSG00000228638,chr3,48332366,48334365,FCF1P2,101060195,0.569444444,0,0.569444444,0.569444444,4.540826563,2.87882E-06,0.000426113,208,4,0.75,1.5,1.5,0.666666667,0,0
ENSG00000228735,chr7,54645988,54647987,NA,NA,0.833333333,0.277777778,0.555555556,0.555555556,4.246194966,2.36162E-07,3.93766E-05,218,3,0.333333333,1.666666667,2.666666667,0.888888889,0.333333333,0
ENSG00000205445,chr21,45970889,45972888,KRTAP10-2,386679,0.544444444,0,0.544444444,0.544444444,5.792971004,3.76499E-05,0.004856298,210,1,0,0,5.333333333,2,2,0
ENSG00000261046,chr16,34785780,34787779,NA,NA,0.721212121,0.191666667,0.529545455,0.529545455,3.430067632,7.18531E-19,4.99047E-16,279,2,0.5,0.5,3.5,2.333333333,1,0.5
ENSG00000201668,chr18,47397537,47399536,NA,NA,0.522222222,0,0.522222222,0.522222222,5.733956844,8.39689E-05,0.010481413,217,1,0,1,3.333333333,0.666666667,1,0
ENSG00000222727,chr4,186947241,186949240,RNU4-64P,NA,1,0.5,0.5,0.5,0.985786141,9.09481E-48,1.23176E-43,1188,1,0,1,3,1.333333333,1,0
ENSG00000010030,chr6,36355665,36357664,ETV7,51513,1,0.5,0.5,0.5,0.985786141,9.09481E-48,1.23176E-43,1188,1,0,1,1.333333333,1.333333333,0,0
ENSG00000232912,chr1,8483205,8485204,NA,NA,1,0.5,0.5,0.5,0.985786141,3.13746E-32,4.19887E-29,1188,1,0,2,1.666666667,0.666666667,0,0
ENSG00000230630,chr1,172113435,172115434,DNM3OS,100628315,1,0.5,0.5,0.5,0.985786141,3.13746E-32,4.19887E-29,1188,1,0,2,1.666666667,0.666666667,0,0
ENSG00000208024,chr1,172113285,172115284,MIR199A2,406977,1,0.5,0.5,0.5,0.985786141,3.13746E-32,4.19887E-29,1188,1,0,2,1.666666667,0.666666667,0,0
ENSG00000237629,chr2,26216163,26218162,UQCRHP2,NA,1,0.5,0.5,0.5,0.985786141,3.13746E-32,4.19887E-29,1188,1,0,2,2.333333333,0.666666667,1,0
ENSG00000271889,chr2,61388741,61390740,NA,NA,1,0.5,0.5,0.5,0.985786141,3.13746E-32,4.19887E-29,1188,1,0,2,1.333333333,0.666666667,0,0
ENSG00000153989,chr6,117995165,117997164,NUS1,116150,1,0.5,0.5,0.5,3.329105741,8.78003E-19,5.4051E-16,283,2,1,1.5,2,0.5,0.5,0
ENSG00000224106,chr9,69476381,69478380,CYP4F25P,NA,1,0.5,0.5,0.5,3.329105741,8.78003E-19,5.4051E-16,283,2,0.5,2,1,0.5,0,0
ENSG00000077254,chr1,78225038,78227037,USP33,23032,1,0.5,0.5,0.5,3.329105741,1.23092E-18,7.09402E-16,283,2,0,1,2.166666667,1,0.5,0
ENSG00000229258,chr1,212001688,212003687,NA,NA,1,0.5,0.5,0.5,3.329105741,1.23092E-18,7.09402E-16,283,3,0.333333333,2,1.888888889,0.333333333,0.333333333,0
ENSG00000231656,chr8,7579113,7581112,FAM90A18P,NA,1,0.5,0.5,0.5,0.985786141,2.0121E-17,6.64655E-15,1188,2,1.5,2.5,0.5,0.333333333,0,0
ENSG00000257061,chr12,126841080,126843079,NA,NA,1,0.5,0.5,0.5,0.985786141,2.0121E-17,6.64655E-15,1188,1,1,2,1,0.666666667,0,0
ENSG00000252675,chr13,19715622,19717621,RNU6-52P,100873761,1,0.5,0.5,0.5,0.985786141,2.0121E-17,6.64655E-15,1188,1,1,2,0.666666667,0.666666667,0,0
ENSG00000259309,chr15,70114696,70116695,NA,NA,1,0.5,0.5,0.5,0.985786141,2.0121E-17,6.64655E-15,1188,1,1,2,1.333333333,0.666666667,0,0
ENSG00000260584,chr16,32126521,32128520,NA,NA,1,0.5,0.5,0.5,0.985786141,2.0121E-17,6.64655E-15,1188,1,1,2,1,0.666666667,0,0
ENSG00000248409,chr22,23733458,23735457,NA,NA,1,0.5,0.5,0.5,0.985786141,2.0121E-17,6.64655E-15,1188,1,1,2,0.666666667,0.666666667,0,0
ENSG00000227413,chr22,40827640,40829639,NA,NA,1,0.5,0.5,0.5,0.985786141,2.0121E-17,6.64655E-15,1188,1,1,2,0.666666667,0.666666667,0,0
ENSG00000272502,chr8,121822959,121824958,NA,NA,1,0.5,0.5,0.5,3.329105741,2.15583E-10,5.45749E-08,283,2,0.5,1.5,2,0.833333333,0,0
ENSG00000230796,chr7,57710326,57712325,NA,NA,0.5,0,0.5,0.5,3.329105741,3.90073E-10,8.73215E-08,283,2,1.5,2,0.666666667,0.5,0,0
ENSG00000066827,chr8,135724793,135726792,ZFAT,57623,0.488888889,0,0.488888889,0.488888889,5.640646633,0.000130331,0.015690097,434,1,0,1,4.333333333,1,2,0
ENSG00000267549,chr19,56824572,56826571,NA,101928968,0.977777778,0.5,0.466666667,0.477777778,3.279847871,2.61333E-10,6.49423E-08,449,3,1,2,2.222222222,1,0.666666667,0.333333333
ENSG00000249277,chr4,25687581,25689580,NA,NA,0.916666667,0.458333333,0.458333333,0.458333333,3.261131992,3.78218E-10,8.65319E-08,454,2,0.5,1,2.5,1.666666667,1,0
ENSG00000225856,chr9,91585757,91587756,PCNPP2,NA,0.44047619,0,0.44047619,0.44047619,5.493378951,0.000214111,0.024891127,486,1,0,1,4.333333333,1.333333333,1,0
ENSG00000228658,chr9,91585053,91587052,NA,NA,0.44047619,0,0.44047619,0.44047619,5.493378951,0.000214111,0.024891127,486,1,0,1,4.333333333,1.333333333,1,0
ENSG00000112144,chr6,52926101,52928100,ICK,22858,1,0.583333333,0.416666667,0.416666667,0.781812104,1.84016E-18,1.03843E-15,1651,2,0.5,1,1.166666667,0.833333333,0,0
ENSG00000240057,chr3,112736879,112738878,NA,NA,0.916666667,0.5,0.416666667,0.416666667,3.199015537,2.61333E-10,6.49423E-08,509,2,0.5,1.5,2.166666667,0.833333333,0.5,0
ENSG00000066923,chr7,99773686,99775685,STAG3,10734,0.916666667,0.5,0.416666667,0.416666667,3.199015537,3.09154E-10,7.41067E-08,509,2,0.5,2,1.666666667,0.333333333,0,0
ENSG00000254373,chr5,159683760,159685759,NA,NA,1,0.583333333,0.416666667,0.416666667,0.767440553,2.2395E-05,0.002973601,1687,1,0,1,1,1.666666667,0,0
ENSG00000163808,chr3,44801709,44803708,KIF15,56992,1,0.583333333,0.416666667,0.416666667,0.767440553,0.00079233,0.084829449,1687,1,1,1,1,1.666666667,0,0
ENSG00000182544,chr12,53643535,53645534,MFSD5,84975,0.6,1,-0.4,-0.4,-0.727474145,0.000296434,0.033596323,1764,1,0,1,3,1.333333333,1,0
ENSG00000120910,chr8,22296832,22298831,PPP3CC,5533,0.5,1,-0.5,-0.5,-0.985786141,2.0121E-17,6.64655E-15,1280,1,2,1,0.666666667,0.666666667,0,0
ENSG00000266628,chr14,77817403,77819402,RN7SL137P,NA,0.5,1,-0.5,-0.5,-0.985786141,2.0121E-17,6.64655E-15,1280,1,2,1,0.666666667,1.666666667,0,0
ENSG00000248918,chr5,50263994,50265993,NA,NA,0.425,1,-0.4,-0.575,-0.727474145,3.37777E-32,4.19887E-29,1764,2,1.5,1.5,1.666666667,0.5,0.5,0
ENSG00000248338,chr4,29214520,29216519,NA,NA,0,0.583333333,-0.583333333,-0.583333333,-5.89077093,1.86318E-05,0.002486105,203,1,0,1,1.333333333,1.666666667,0,0
ENSG00000119969,chr10,96304047,96306046,HELLS,3070,0.375,0.972222222,-0.597222222,-0.597222222,-3.145767518,1.5901E-08,3.09863E-06,333,3,0.333333333,1.333333333,2,1.333333333,0.333333333,0.333333333
ENSG00000183513,chr2,99224479,99226478,COA5,493753,0.333333333,1,-0.666666667,-0.666666667,-1.556673456,2.78172E-32,4.19887E-29,757,1,2,0,1,1.333333333,0,0
ENSG00000122674,chr7,5936856,5938855,CCZ1,51622;221960,0.333333333,1,-0.666666667,-0.666666667,-1.556673456,1.89136E-17,6.64655E-15,757,2,2.5,1.5,0.5,0.833333333,0,0
ENSG00000260409,chr15,20961013,20963012,NA,NA,0.333333333,1,-0.666666667,-0.666666667,-1.556673456,1.89136E-17,6.64655E-15,757,1,2,1,1,0.666666667,0,0
ENSG00000198711,chr1,54702210,54704209,SSBP3-AS1,NA,0,1,-1,-1,-6.658211483,1.38654E-19,1.07306E-16,34,1,1,2,1.333333333,0.333333333,0,0
ENSG00000258367,chr14,19337905,19339904,NA,NA,0,1,-1,-1,-6.658211483,9.66098E-18,3.79256E-15,53,1,2,1,0.333333333,0.666666667,0,0
