id,Chromosome,Start,End,mean.mean.CMP,mean.mean.MLP,mean.mean.diff,Difference,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.CMP,mean.num.na.MLP,mean.mean.covg.CMP,mean.mean.covg.MLP,mean.nsamples.covg.thres5.CMP,mean.nsamples.covg.thres5.MLP
974559,chr17,62140200,62141000,1,0.466666667,0.533333333,0.53,1.083302647,8.76E-06,0.000673116,1068,1,0,0,2.333333333,4.666666667,0,2
154203,chr2,113390800,113391000,1,0.5,0.5,0.50,0.985786141,9.08E-48,2.07E-44,1118,1,0,1,1.666666667,2,0,0
566090,chr9,38672600,38673000,1,0.5,0.5,0.50,0.985786141,9.08E-48,2.07E-44,1118,1,0,1,3,2.666666667,1,1
786503,chr12,113414600,113415200,1,0.5,0.5,0.50,0.985786141,9.08E-48,2.07E-44,1118,1,0,1,3,1.333333333,0,0
409671,chr6,44003000,44004000,0.5,0,0.5,0.50,5.672425342,7.52E-33,3.18E-30,269,1,2,0,0.666666667,1.666666667,0,0
573515,chr9,93684600,93685600,0.5,0,0.5,0.50,5.672425342,7.52E-33,3.18E-30,269,1,2,0,2,5,1,2
146259,chr2,95727200,95728400,1,0.5,0.5,0.50,0.985786141,3.13E-32,9.67E-30,1118,1,0,2,2,0.666666667,0,0
247009,chr3,129574200,129575400,1,0.5,0.5,0.50,0.985786141,3.13E-32,9.67E-30,1118,1,0,2,1.666666667,0.666666667,0,0
286531,chr4,38081000,38081200,1,0.5,0.5,0.50,0.985786141,3.13E-32,9.67E-30,1118,1,0,2,2,0.666666667,0,0
668417,chr10,103429800,103430000,1,0.5,0.5,0.50,0.985786141,3.13E-32,9.67E-30,1118,1,0,2,3,0.666666667,0,0
636538,chr10,18872000,18872600,0.5,0,0.5,0.50,5.672425342,2.53E-19,5.11E-17,269,1,2,1,0.666666667,0.666666667,0,0
706646,chr11,64916800,64917800,0.5,0,0.5,0.50,5.672425342,2.53E-19,5.11E-17,269,1,2,1,0.666666667,0.666666667,0,0
338158,chr5,64340200,64340600,1,0.5,0.5,0.50,0.985786141,2.01E-17,2.44E-15,1118,1,1,2,1.333333333,0.666666667,0,0
377120,chr5,171744600,171745400,1,0.5,0.5,0.50,0.985786141,2.01E-17,2.44E-15,1118,1,1,2,2,2,1,1
737139,chr11,128344200,128344400,1,0.5,0.5,0.50,0.985786141,2.01E-17,2.44E-15,1118,1,1,2,1,0.666666667,0,0
952194,chr17,28035000,28035800,1,0.5,0.5,0.50,0.985786141,2.01E-17,2.44E-15,1118,1,1,2,1.333333333,0.666666667,0,0
1062662,chr20,35994400,35995600,1,0.5,0.5,0.50,0.985786141,2.01E-17,2.44E-15,1118,1,1,2,1.333333333,0.666666667,0,0
818774,chr13,99141000,99141600,1,0.5,0.5,0.50,3.329105741,3.90E-10,3.66E-08,410,2,0.5,1,2,1,0,0
992104,chr18,11050000,11050200,1,0.5,0.5,0.50,3.329105741,3.90E-10,3.66E-08,410,2,1,1.5,1,1,0,0
580606,chr9,108304000,108304400,1,0.5,0.5,0.50,0.985786141,0.000168981,0.011308072,1115,1,0,1,1.666666667,2,0,0
682315,chr11,187600,189000,1,0.547619048,0.259259259,0.45,1.543806781,3.45E-05,0.002479972,1392,23,2.130434783,1.782608696,0.724637681,0.405797101,0.304347826,0
70243,chr1,161442800,161443400,0.474074074,0.055555556,0.418518519,0.42,2.649651624,3.15E-07,2.70E-05,643,3,1,1.666666667,2.333333333,1.222222222,0.666666667,0.333333333
227290,chr3,58020400,58021400,1,0.583333333,0.416666667,0.42,0.767440553,5.88E-06,0.00045735,1571,1,0,0,2.333333333,2.666666667,0,0
831338,chr14,50062600,50063000,1,0.583333333,0.416666667,0.42,0.767440553,0.000142311,0.009629511,1571,1,1,0,2,4.666666667,0,1
470476,chr7,55972400,55972600,1,0.583333333,0.416666667,0.42,0.767440553,0.000792225,0.050596742,1558,1,1,1,1.333333333,1.666666667,0,0
661579,chr10,92863400,92865400,0.4,0,0.4,0.40,5.357552005,0.000130757,0.008914023,694,1,0,0,4.333333333,3.333333333,1,0
195305,chr2,233989200,233990200,0.583333333,1,-0.416666667,-0.42,-0.767440553,2.24E-05,0.001636866,1558,1,1,0,1.666666667,1.666666667,0,0
243551,chr3,124312800,124313600,0,0.416666667,-0.416666667,-0.42,-5.415037499,2.24E-05,0.001636866,661,1,0,1,2.666666667,2.333333333,0,0
928698,chr16,72863800,72864400,0.583333333,1,-0.416666667,-0.42,-0.767440553,2.24E-05,0.001636866,1558,1,1,0,1.666666667,2.666666667,0,0
792119,chr12,123204600,123204800,0.566666667,1,-0.433333333,-0.43,-0.808545756,2.83E-05,0.002044974,1522,1,0,0,4,2.333333333,2,0
1103704,chr22,39664000,39664400,0,0.472222222,-0.472222222,-0.47,-5.591626231,0.000391916,0.025568688,600,1,1,0,1.333333333,3,0,0
1067340,chr20,44542600,44543000,0.5,1,-0.5,-0.50,-0.985786141,6.43E-63,8.84E-59,1234,1,0,0,3.333333333,1.666666667,0,0
918792,chr16,48478800,48479400,0.5,1,-0.5,-0.50,-0.985786141,7.44E-37,1.13E-33,1234,1,0,2,2,0.333333333,0,0
89368,chr1,206310200,206310600,0.5,1,-0.5,-0.50,-0.985786141,5.59E-33,3.18E-30,1234,1,1,1,1.333333333,0.666666667,0,0
501328,chr7,150016400,150017800,0.5,1,-0.5,-0.50,-0.985786141,5.59E-33,3.18E-30,1234,1,1,1,1.333333333,1,0,0
1016860,chr19,4382000,4382400,0.5,1,-0.5,-0.50,-0.985786141,5.59E-33,3.18E-30,1234,1,1,1,1.333333333,0.666666667,0,0
1023967,chr19,14475200,14476200,0,0.5,-0.5,-0.50,-5.672425342,7.52E-33,3.18E-30,269,1,0,2,1.333333333,1.333333333,0,0
267707,chr3,185956000,185956800,0.5,1,-0.5,-0.50,-0.985786141,3.13E-32,9.67E-30,1234,1,2,0,0.666666667,1.333333333,0,0
288498,chr4,40691800,40692800,0.5,1,-0.5,-0.50,-0.985786141,3.13E-32,9.67E-30,1234,1,2,0,0.666666667,1.333333333,0,0
309813,chr4,140093400,140093800,0.5,1,-0.5,-0.50,-0.985786141,3.13E-32,9.67E-30,1234,1,2,0,0.666666667,1.666666667,0,0
383544,chr6,223000,223200,0.5,1,-0.5,-0.50,-0.985786141,3.13E-32,9.67E-30,1234,1,2,0,0.666666667,2.333333333,0,0
575159,chr9,95890400,95891000,0.5,1,-0.5,-0.50,-0.985786141,3.13E-32,9.67E-30,1234,1,2,0,0.666666667,1,0,0
718212,chr11,83160000,83160400,0.5,1,-0.5,-0.50,-0.985786141,3.13E-32,9.67E-30,1234,1,2,0,0.666666667,1.333333333,0,0
749384,chr12,11924600,11926000,0.5,1,-0.5,-0.50,-0.985786141,3.13E-32,9.67E-30,1234,1,2,0,0.666666667,2.333333333,0,0
798846,chr13,24035000,24035600,0.5,1,-0.5,-0.50,-0.985786141,3.13E-32,9.67E-30,1234,1,2,0,0.666666667,2.333333333,0,0
1082779,chr21,36011400,36013400,0.5,1,-0.5,-0.50,-0.985786141,3.13E-32,9.67E-30,1234,1,2,0,0.666666667,1,0,0
982445,chr17,75471000,75471400,0.5,1,-0.5,-0.50,-3.329105741,2.43E-28,6.13E-26,410,2,0.5,1,1,1,0,0
163741,chr2,144234400,144234600,0,0.5,-0.5,-0.50,-5.672425342,2.53E-19,5.11E-17,269,1,1,2,1.333333333,0.666666667,0,0
740785,chr12,6421600,6422800,0,0.5,-0.5,-0.50,-5.672425342,2.53E-19,5.11E-17,269,1,1,2,0.666666667,0.666666667,0,0
556456,chr9,5618200,5619200,0.5,1,-0.5,-0.50,-3.329105741,8.77E-19,1.66E-16,410,2,2,0.5,0.333333333,1.666666667,0,0
392002,chr6,14910400,14912000,0.5,1,-0.5,-0.50,-3.329105741,1.23E-18,2.24E-16,410,2,1,0,0.666666667,2.666666667,0,0.5
20886,chr1,28497800,28500200,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,1.333333333,1.333333333,0,0
119128,chr2,25621200,25622000,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,0.666666667,1,0,0
531591,chr8,81770600,81771000,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,0.666666667,1,0,0
587728,chr9,126079400,126079800,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,0.666666667,0.666666667,0,0
749453,chr12,11988200,11990200,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,0.666666667,0.666666667,0,0
774644,chr12,92505600,92506400,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,0.666666667,0.666666667,0,0
847391,chr14,77471000,77471600,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,0.666666667,1,0,0
965789,chr17,45942400,45942800,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,0.666666667,1,0,0
995907,chr18,21451200,21451800,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,0.666666667,0.666666667,0,0
1006828,chr18,56299800,56303600,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,0.666666667,1.333333333,0,0
1083256,chr21,36602800,36603600,0.5,1,-0.5,-0.50,-0.985786141,2.01E-17,2.44E-15,1234,1,2,1,0.666666667,0.666666667,0,0
273020,chr3,195839400,195842200,0.5,1,-0.5,-0.50,-3.329105741,1.84E-11,1.95E-09,410,2,0.5,1.5,1.333333333,0.666666667,0,0
942503,chr17,5561000,5561600,0.5,1,-0.5,-0.50,-3.329105741,3.90E-10,3.66E-08,410,2,2,1.5,0.333333333,0.5,0,0
474754,chr7,74057400,74058600,0.5,1,-0.5,-0.50,-0.985786141,0.000168981,0.011308072,1115,1,0,1,3.333333333,2,0,1
1034738,chr19,40915600,40917800,0.444444444,1,-0.555555556,-0.56,-1.163041296,2.07E-19,4.40E-17,1023,2,0.5,1,2,0.666666667,0,0
1041544,chr19,50351400,50352800,0.433333333,1,-0.566666667,-0.57,-1.187891548,0.000528984,0.03414388,1008,1,1,0,2.666666667,2,1,0
992425,chr18,11576200,11576800,0.416666667,1,-0.583333333,-0.58,-1.271229799,3.59E-10,3.44E-08,962,2,1,1.5,1.666666667,1.166666667,0,0
450695,chr7,2020400,2020800,0.416666667,1,-0.583333333,-0.58,-1.243173983,1.86E-05,0.001378412,978,1,1,0,1.666666667,2.333333333,0,0
537047,chr8,101510200,101515600,0,0.583333333,-0.583333333,-0.58,-5.89077093,1.86E-05,0.001378412,246,1,0,1,1.666666667,1.666666667,0,0
1035406,chr19,41874000,41874400,0.375,1,-0.625,-0.63,-1.391424942,7.22E-05,0.005111442,894,1,1,0,2,3.666666667,0,1
993835,chr18,13608200,13608400,0.347222222,0.989583333,-0.642361111,-0.64,-3.171980811,2.08E-19,4.40E-17,453,8,0.125,1,2.375,1.583333333,0.375,0.25
556717,chr9,5851400,5852000,0,0.666666667,-0.5,-0.67,-3.329105741,4.66E-19,9.02E-17,410,3,1.666666667,1,0.888888889,1,0,0
556252,chr9,5440600,5440800,0.333333333,1,-0.666666667,-0.67,-1.556673456,1.89E-17,2.44E-15,813,1,2,1,1,1.333333333,0,0
629436,chr10,3893200,3894200,0.333333333,1,-0.666666667,-0.67,-1.556673456,1.89E-17,2.44E-15,813,1,2,1,1,1,0,0
673893,chr10,116126800,116127400,0.291666667,1,-0.708333333,-0.71,-1.743328096,0.000211657,0.014009379,750,1,1,1,2.333333333,1.666666667,0,0
282154,chr4,10731000,10735200,0.25,1,-0.75,-0.75,-1.957771765,1.82E-17,2.44E-15,676,1,2,1,1.333333333,1,0,0
312467,chr4,147016200,147017000,0,1,-1,-1.00,-6.658211483,2.03E-48,7.38E-45,4,1,1,0,1.333333333,2.333333333,0,0
400834,chr6,32212000,32212400,0,1,-1,-1.00,-6.658211483,2.03E-48,7.38E-45,4,1,1,0,1.333333333,4,0,1
88577,chr1,205249800,205250000,0,1,-1,-1.00,-6.658211483,1.34E-33,1.44E-30,13,1,1,1,0.666666667,2,0,0
277848,chr4,2794400,2794600,0,1,-1,-1.00,-6.658211483,1.34E-33,1.44E-30,13,1,1,1,1.333333333,0.666666667,0,0
557508,chr9,6929600,6929800,0,1,-1,-1.00,-6.658211483,1.34E-33,1.44E-30,13,1,1,1,1,2,0,1
595558,chr9,136006800,136007200,0,1,-1,-1.00,-6.658211483,1.34E-33,1.44E-30,13,1,1,1,0.666666667,1.666666667,0,0
881440,chr15,66715800,66716200,0,1,-1,-1.00,-6.658211483,1.34E-33,1.44E-30,13,1,1,1,1,1,0,0
213074,chr3,32499400,32500000,0,1,-1,-1.00,-6.658211483,1.81E-33,1.64E-30,18,1,0,2,1.666666667,0.333333333,0,0
244262,chr3,125137200,125137600,0,1,-1,-1.00,-6.658211483,1.81E-33,1.64E-30,18,1,0,2,1.333333333,1,0,0
913719,chr16,25058200,25058600,0,1,-1,-1.00,-6.658211483,1.81E-33,1.64E-30,18,1,0,2,1,0.666666667,0,0
148502,chr2,99492200,99492600,0,1,-1,-1.00,-6.658211483,7.52E-33,3.18E-30,28,1,2,0,0.333333333,3.333333333,0,1
150473,chr2,103041600,103043000,0,1,-1,-1.00,-6.658211483,7.52E-33,3.18E-30,28,1,2,0,0.333333333,1.666666667,0,0
166073,chr2,153026200,153028000,0,1,-1,-1.00,-6.658211483,7.52E-33,3.18E-30,28,1,2,0,0.333333333,2.333333333,0,0
182524,chr2,203037000,203037200,0,1,-1,-1.00,-6.658211483,7.52E-33,3.18E-30,28,1,2,0,0.333333333,1.666666667,0,0
193240,chr2,231311600,231312600,0,1,-1,-1.00,-6.658211483,7.52E-33,3.18E-30,28,1,2,0,0.333333333,1,0,0
784965,chr12,111350800,111352000,0,1,-1,-1.00,-6.658211483,7.52E-33,3.18E-30,28,1,2,0,0.333333333,1.333333333,0,0
856457,chr14,102258000,102258400,0,1,-1,-1.00,-6.658211483,7.52E-33,3.18E-30,28,1,2,0,0.333333333,1.666666667,0,0
939835,chr17,2164400,2165200,0,1,-1,-1.00,-6.658211483,7.52E-33,3.18E-30,28,1,2,0,0.333333333,1.666666667,0,0
942117,chr17,5124200,5125000,0,1,-1,-1.00,-6.658211483,7.52E-33,3.18E-30,28,1,2,0,0.333333333,2.333333333,0,1
954459,chr17,30902600,30903600,0,1,-1,-1.00,-6.658211483,7.52E-33,3.18E-30,28,1,2,0,0.333333333,1.333333333,0,0
276905,chr4,1345400,1345800,0,1,-1,-1.00,-6.658211483,1.21E-19,2.63E-17,76,1,1,2,1,0.333333333,0,0
285933,chr4,36327600,36328800,0,1,-1,-1.00,-6.658211483,1.21E-19,2.63E-17,76,1,1,2,1,0.666666667,0,0
531791,chr8,81996200,81998400,0,1,-1,-1.00,-6.658211483,1.21E-19,2.63E-17,76,1,1,2,1,0.333333333,0,0
565722,chr9,37994600,37995600,0,1,-1,-1.00,-6.658211483,1.21E-19,2.63E-17,76,1,1,2,0.666666667,0.333333333,0,0
748719,chr12,10438400,10439000,0,1,-1,-1.00,-6.658211483,1.21E-19,2.63E-17,76,1,1,2,0.666666667,0.333333333,0,0
926429,chr16,69564400,69565000,0,1,-1,-1.00,-6.658211483,1.21E-19,2.63E-17,76,1,1,2,0.666666667,0.333333333,0,0
144749,chr2,86456000,86457200,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.333333333,1.333333333,0,0
193377,chr2,231459200,231462600,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.333333333,1,0,0
255571,chr3,150089800,150090200,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.333333333,1.666666667,0,0
261601,chr3,170976400,170979800,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.333333333,1,0,0
371475,chr5,157027800,157029200,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.333333333,0.666666667,0,0
694408,chr11,32055000,32055400,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.333333333,1.333333333,0,0
698692,chr11,44580600,44581800,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,1,2,0,0
789048,chr12,118604400,118605200,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.333333333,1,0,0
794383,chr12,129267000,129267600,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.333333333,0.666666667,0,0
941310,chr17,4237800,4238000,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.333333333,0.666666667,0,0
951440,chr17,27197800,27198000,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.333333333,0.666666667,0,0
982262,chr17,75337000,75337600,0,1,-1,-1.00,-6.658211483,9.65E-18,1.35E-15,110,1,2,1,0.666666667,0.666666667,0,0
992616,chr18,11883000,11883600,0,1,-1,-1.00,-6.658211483,1.01E-10,1.02E-08,178,2,2,1.5,0.5,0.5,0,0
